data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
"Nhóm màu: màu đen úa 
Dung lượng lưu trữ: 16+1tb máy sài cho ổn, facbook, ......nhưng chơi game yếu",,,Negative,,,,,,,,
"Nhóm màu: xanh 
Phân loại sản phẩm: 8/128gb máy xịn, màn sáng, không có lỗi vặt, vọc cả ngày chưa xong hết tính năng",,,,Positive,,,,,,,
"Không đáng tiền đúng mẫu mã quá nhiều điểm trừ. Thực sự mình thấy hối hận khi bỏ ra số tiền này để mua máy. Thà thêm một chút tiền nữa mua máy khác còn hơn. Từ hiệu năng, pin cho đến camera, mọi thứ đều chỉ ở mức trung bình yếu, sử dụng rất bực mình.",Negative,Negative,Negative,,,,Negative,,,,
"chất lượng hàng của apple nên 5 sao cửa hàng chỉ mỗi việc giao hàng nhưng không có trách nhiệm cho sản phẩm có giá trị cao dịch vụ giao hành rất kém, không giải quyết được vấn đề giao hàng chậm trễ",,,,,,,,Negative,Negative,,
"Chất lượng sản phẩm: tốt, hơn mong đợi máy mới keng.cho con xem ytb quá ổn!",,,,,,,,,,Positive,
mua điện thoại được tặng thêm được cái ốp khá uy sờ tín cảm ơn cửa hàng,,,,,,,,,,Positive,
Variation3: mỹ 2 sim 99% 128gb tính năng:sản phẩm đúng mô tả chất lượng:sản phẩm đúng mô tả ,,,,,,,,,,Positive,
"Màu sắc: desert 
Dung lượng lưu trữ: 256gb màn hình lớn với hiển thị sống động,",,,,Positive,,,,,,,
Chất lượng sản phẩm mặt kính dễ trầy bảo vệ kém. Đúng với mô tả kính khác mô tả cứng hơn. Tính năng nổi bật độ bền kém dễ xước. Review để nhẹ trong túi là thấy xước hoàn thiện tệ. Pin xuống nhanh khi bật 4g. Ship chậm và nhân viên giao hàng bất cẩn. Chăm sóc khách hàng yêu cầu nhiều giấy tờ để đổi trả,Negative,,,,Negative,,,Negative,Negative,,
Máy hình thức nó chán gì đâu .nhu cầu của mình không cao .chẳng cần mic cũng chẳng cần loa .thỉnh thoảng gắn vào xe máy để bật map thế thôi .còn cái màn dính keo không chắc như sắp rụng ra .hở sáng nhìn nó chán gì đâu.cũng chẳng thiết đổi lại.tư vấn thì lề mề .cảm giác coi thường khách hàng,,,,Negative,,,,Negative,,,
"Nhóm màu: black 
Dung lượng lưu trữ: 128gb mua cho thằng em trai cái điện thoại. cũng là lần đầu tiên mua thứ đắt vậy, đồ điện tử qua mạng. xem camera thấy mẹ và em đập hộp vui vui",,,,,,,,,,Positive,
"hàng chính hãng, nguyên tem nguyên hộp, hàng cao cấp thì không có gì để bàn cãi rồi",,,,,,,,,,Positive,
Màn hình có kích thước 6.4 inch.,,,,Neutral,Neutral,,,,,,
"xấu xí không khớp lag nặng, camera tối om",,Negative,Negative,,Negative,,,,,,
"Thời gian giao hàng mất khoảng 3 ngày, đúng như dự kiến của đơn vị vận chuyển.",,,,,,,,,Neutral,,
Đóng gói sơ sài không có hóa đơn. Hiệu năng chậm cập nhật os. Chăm sóc khách hàng yêu cầu gửi ảnh chứng minh phức tạp.,,,Negative,,,Negative,,Negative,,,
mình tưởng đen tuyền. mua về ra màu này thôi sử dụng luôn. giá cả mã là 23tr cũng tốt. đánh giá máy mới sau 1 tháng sử dụng chưa thấy lỗi. sử dụng có nóng máy nhẹ,,,,,,,Positive,,,,
rất hài lòng sản phẩm và dịch vụ giao hàng,,,,,,,,,Positive,,
Hàng như hình,,,,,,,,,,Neutral,
"mua của cửa hàng mấy lần rồi, thấy giao nhanh lắm nhé cả nhà ạ chưa kích bảo hành đâu",,,,,,,,Positive,Positive,,
"Nhóm màu: natural 
Dung lượng lưu trữ: 256gb mượt, ổn",,,Positive,,,,,,,,
Đúng với mô tả: đúng máy cầm nhẹ tay nam nữ đều hợp đẹp keng mua bản ram 6 giao luôn ram 8. tuyệt vời,,,,,Positive,,,,,,
màn bị ám ố,,,,Negative,,,,,,,
"Nhóm màu: xanh dương 
Dung lượng lưu trữ: 128gb hàng giao nhanh toi rat hai long hàng giao nhanh ghê",,,,,,,,,Positive,,
"Có đốm trên màn hình,hay tắt nguồn",,,,Negative,,,,,,,
"camera thiếu chi tiết, ảnh thiếu tương phản. khác với mô tả rực rỡ. tính năng AI xử lý ảnh quá tay. pin bình thường nhưng hiệu năng kém khi chụp liên tục, đóng gói tệ",Neutral,Negative,Negative,,,Negative,,,,,
Chính sách bảo hành được mô tả đầy đủ trong hướng dẫn.,,,,,,,,Neutral,,,
"Điện thoại sài tác vụ bình thường khá ổn, hiệu năng cũng ổn. Phù hợp cho phụ huynh",,,Positive,,,,,,,,
"Nhóm màu: black 
Dung lượng lưu trữ: 128gb giao hàng nhanh chóng và an toàn., chất lượng máy ảnh ấn tượng!,",,Positive,,,,,,,Positive,,
"Giá trị sản phẩm lớn nhưng lại không xài được mẹ gì, hư ngay ngày thứ 5 sử dụng.",,,,,,,,,,Negative,
Chất lượng sản phẩm: hiệu năng đáp ứng các tác vụ cơ bản theo cấu hình được công bố.,,,Neutral,,,,,,,,
"Tính năng nổi bật: không có 
Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt
Hàng gói kĩ cửa hàng nhiệt tình",,,,,,Positive,,,,,
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb giao hàng nhanh chóng và an toàn., sử dụng vật liệu chất lượng cao., thiết kế mượt mà, rất ưng!,",,,,,Positive,,,,Positive,,
"Dung lượng lưu trữ: 8+256 hàng rất mới và cửa hàng tư vấn rất nhiệt tình và quá trình giao hàng rất nhanh chỉ mất 1 ngày là nhận được. Tặng cửa hàng 5 sao mọi ngừi yên tâm mua điện thoại online nha, cửa hàng uy tín đảm bảo 100%",,,,,,,,Positive,Positive,,
Sản phẩm còn nguyên tem niêm phong của nhà phân phối.,,,,,,Neutral,,,,,
Quá nóng đúng hiệu năng kém. Chỉ lướt facebook xem tiktok thôi mà máy đã nóng ran. Sợ thật.,,,Negative,,,,,,,,
Đây là máy tàu.không giống quảng cáo.đặt hàng màu xanh giao màu bạc.trải ngiệm tệ.máy đểu,,,,,,,,,,Negative,
Pin không trâu lắm. Camera chụp hình đẹp nha. Sẽ ủng hộ cửa hàng thêm ,Negative,Positive,,,,,,,,,
"Thất vọng không trung thực máy xuống cấp nhanh sau 1 tháng,",,,,,,,,,,Negative,
"Color family: random color sản phẩm: hàng xuất sắc nhé mọi người ,hàng đúng chính hãng ạ, ngoại hình mới đẹp, mình rất thích, và ưng ý về sản phẩm, cảm ơn cửa hàng nhé",,,,,Positive,,,,,,
Hiệu năng của máy đủ để chơi các tựa game phổ thông ở mức cài đặt trung bình.,,,Neutral,,,,,,,,
Chăm sóc khách hàng không giải quyết được vấn đề. Thái độ nhân viên không tốt. Khó bảo hành. Báo lỗi thì bảo đợi cuối cùng cũng chẳng làm gì. Gọi điện khó khăn,,,,,,,,Negative,,,
Săn sale đêm 14/2 3 củ khoai an ủi tuỏi thân vì fa ở nhà lên sàn bỏ công săn có con chơi game hết năm mong có crush,,,,,,,,,,,Neutral
"Máy tốt, tuy nhiên sử dụng được 16 ngày thì màn hỏng, hết bảo hành thì mình chấp nhận, cách giải quyết của cửa hàng cũng hơp lý, tuy nhiên cửa hàng nên lưu ý khi giao máy cho khách hoặc dưới mô tả điện thoại.",,,,Negative,,,,Positive,,Positive,
"Màu sắc: bạc 
Phân loại: nguyên seal máy tốt màu bạc đẹp nha mọi người , với giá này thì ngon rồi , xiaomi ngon bổ rẻ mà xúc",,,,,Positive,,Positive,,,,
điều kiện bảo hành yêu cầu hóa đơn mua hàng,,,,,,,,Neutral,,,
"Tệ đóng gói sơ sài hộp móp méo, sản phẩm không được bảo vệ,",,,,,,Negative,,,,,
"Variation3: đen variation1: nguyên seal sản phẩm đẹp, đúng mô tả, cửa hàng hỗ trợ nhiệt tình !.",,,,,Positive,Positive,,Positive,,,
Thiết kế mặt lưng sử dụng chất liệu kính,,,,,Neutral,,,,,,
Đóng gói cẩn thận,,,,,,Positive,,,,,
"Nhóm màu: tai nghe .. 
Dung lượng lưu trữ: 8gb thật tuyệt vời khi chất lượng sản phẩm quá tốt, máy đẹp các chức năng hoạt động ổn, cảm ứng nhạy bén, camera chụp hình sắc nét. Cửa hàng dễ thương, giao hàng giống như quảng cáo",,Positive,,,Positive,,,Positive,Positive,,
Máy hỏng lấy giao cho khách cửa hàng làm ăn vậy ai dám mua lần sao nữa,,,,,,,,,Negative,,
"Color family: random color sản phẩm: hàng tốt.ổn trong tầm giá.cửa hàng này bán hàng rất có tâm , đúng hàng chuẩn zin , rất đáng đồng tiền mình bỏ ra.cảm ơn cửa hàng nhiều ạ",,,,,,,Positive,,,,
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb màu quá là xinh xắn cầm nhẹ tay lắm nè 🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻",,,,,Positive,,,,,,
Sản phẩm: sản phẩm chất lượng kém trưa nhận hàng thì hết pin mang ra sạc thì 90 phút vào được 15%. Nhắn tin hỏi cửa hàng pin chai thì kêu điện thoại bên cửa hàng toàn sạc 8 tiếng mới đầy. Hàng lỗi thì nói thẳng ra hàng lỗi. Cửa hàng không uy tín,Negative,,,,,,,,,,
Màu máy: màu xanh sản phẩm: samsung a50s 4/64gb cửa hàng ơi mình đã nhận được hàng rồi máy tốt chuẩn luôn nhé cửa hàng tư vấn nhiệt tình đúng mẫu máy mình cần đúng chính hãng luôn nha cửa hàng đóng gói cẩn thận giao hàng cũng rất là nhanh mình test một thời gian thì máy rất là tốt nói chung là tốt tất cả cửa hàng uy tín lần sau mình sẽ giới thiệu mọi người ủng hộ thêm cho cửa hàng nha tặng cửa hàng 5 sao nè,,,,,,Positive,,Positive,Positive,,
Máy ngon trong tầm giá,,,,,,,Positive,,,,
Máy ổn trong tầm giá nhưng tai nghe tặng kèm bị hỏng 1 bên lúc nghe được lúc không,,,,,,,Positive,,,,
bị lổi cam xiêu rộng.,,Negative,,,,,,,,,
Ship hàng nhanh sản phẩm đóng gói chắc chắn không móp méo quá nhiều,,,,,,Positive,,,Positive,,
"Giá cả phải chăng, vận chuyển nhanh chóng, khuyên nên mua",,,,,,,Positive,,Positive,,
"tồi tệ không đúng không nổi bật shipping delay vô lý. đóng gói kém, sản phẩm móp.,",,,,,,Negative,,,Negative,,
Nhóm màu: đen máy khi nhận đã được kích hoạt trước 1 ngày nhưng vẫn còn nguyên seal. Cửa hàng đóng hàng hơi lâu 1 chút,,,,,,Negative,,,,,
Shop có thông báo về các kênh hỗ trợ khách hàng. Mình nên liên hệ qua kênh nào thì nhanh nhất?,,,,,,,,Neutral,,,
"Phí tiền. Nhắn tin thì cửa hàng cài tìn nhắn tự động, không trao đổi giải quyết. Các bạn không nên mua",,,,,,,,Negative,,,
Sản phẩm lỗi quá mic trong hỏng không gọi được,,,,,,,,,,Negative,
Cửa hàng làm việc ẩu đả đặt một loại cửa hàng lại gửi một loại quá chán,,,,,,,,,,Negative,
"Điện thoại tốt. Nhưng 3 sao cho sản phẩm vì không nhân bản được ứng dụng zalo. Chỉ nhân bản được Facebook, mes, tiktok. Cửa hàng dịch vụ tốt",,,,,,,,Positive,,Negative,
"Đúng với mô tả: không 
Chất lượng sản phẩm: 70%. Hình thức tầm 70-75% mặt sau bị xước nhiều. Cảm thấy thất vọng",,,,,Negative,,,,,,
"Đúng với mô tả: đúng với mô tả 
Tính năng nổi bật: hàng nguyên seal 
Chất lượng sản phẩm: chất lượng sản phẩm tốt liên quân mượt chưa thử pubg đánh giá 5 sao cho cửa hàng",,,Positive,,,Positive,,,,,
Màn hình có độ phân giải và màu sắc được hiển thị rõ ràng.,,,,Neutral,,,,,,,
"Máy bị nóng, hiệu năng throttling khi chơi. Khác với mô tả hiệu năng ổn định. Tính năng làm mát gần như vô dụng. Camera và loa đều dưới kỳ vọng, đóng gói thiếu chặt",,Negative,Negative,,,Negative,,,,Negative,
"Sản phẩm tốt lắm nhé cả nhà, mình thấy tất cả mọi thứ tốt, hơi thiếu cái bịt bên hông nhưng không sao, 10 điểm 5 sao xứng đáng. Anh em cấu hình mạng hơi khó, nhưng may mắn vẫn sử dụng tốt",,,,,,,,,,Positive,
"cửa hàng uy tín, tư vấn nhiệt tình, đóng gói chắc chắn.",,,,,,Positive,,Positive,,,
Pin sạc đầy nhưng báo sai phần trăm. Camera chụp macro mờ nhạt. Ship giao thiếu hướng dẫn lắp.,Negative,Negative,,,,,,,,,
"phải đem đi sửa tốn tiền, mong cửa hàng cải thiện",,,,,,,,,,Neutral,
"Máy pin yếu, sử dụng lúc là xuống pin. Máy hay bị nóng khi sử dụng và khi sạc.",Negative,,,,,,,,,,
"Màn hình cảm ứng mượt mà, phản hồi nhanh., san pham như mô tả rất hài lòng long cho 5sao nhe",,,,Positive,,,,,,,
"Chính sách bảo hành đúng theo mô tả, chưa kiểm tra quá trình bảo hành thực tế.",,,,,,,,Neutral,,,
"Tính năng nổi bật: bình thường như những chiếc điện thoại cùng phân khúc 
Chất lượng sản phẩm: máy full box kèm tại nghe nhìn mới 
Đúng với mô tả: sản phẩm đúng mô tả hài lòng với sản phẩm",,,,,,,,,,Positive,
"Shopee là sàn giao dịch thương mại điện tử có trụ sở đặt tại singapore, thuộc sở hữu của sea ltd (trước đây là garena), được thành lập vào năm 2009 bởi lý tiểu đông. Shopee được giới thiệu lần đầu tại",,,,,,,,,,,Neutral
"cửa hàng giao may but king, không dung voi mô tả, tra hang mat thoi gian men thou, noi chung kem",,,,,,,,,Negative,,
"Nhóm màu: midnight 
Dung lượng lưu trữ: 128gb hàng chính hãng. Đóng gói rất kỹ và chắc chắn. Có kèm theo hoá đơn của viettel store luôn. Rất an tâm.",,,,,,Positive,,Positive,,,
tạm thời 4sao thôi nhé cửa hàng. để sài ít ngày xem sao được thì lên 5sao. chứ màn hình hơi lỗi. sai 3 ngày mới quay lại. mà tn bên cửa hàng không được haiz. khuyên anh em đừng mua điện thoại màn hình bị lỗi nhé.bấm nhận được hàng song là mất tn bêb cửa hàng không đổi lại được. trả về 1 sao,,,,Negative,,,,,,,
"Nhân viên fpt rất chu đáo. Quay hộp nguyên seal kèm imei trước khi giao để đảm bảo giao đúng hàng, không bị đánh tráo trong vận chuyển",,,,,,Positive,,Positive,,,
"Chất lượng sản phẩm: ổn ạ 
Tính năng nổi bật: bình thường không có gì 
Đúng với mô tả: sấp sỉ ạ hơi lag và không tải thêm ứng dụng khác được nút nguồn hơi đơ và có chút trầy xước ạ có thế sẽ tiếp tục mua ạ",,,Negative,,Negative,,,,,,
"Hàng như hình, chất lượng và giá hợp lý sau khi áp voucher. Ủng hộ shopee và cửa hàng",,,,,,,Positive,,,,
Mang về sử dụng được 2 tuần có lúc giật lag không cả tắt được máy lag hết cỡ có lúc đang game văng ra và lag luôn có lúc không vào được tik tok vào là bị lagg luôn,,,Negative,,,,,,,,
Nhóm màu: xanh cửa hàng giao đúng hàng như đã quảng cáo....very good.!!!!!,,,,,,,,,Positive,,
"Variation3: bạc variation1: (mới 100%) giao hàng khá nhanh. Máy mới, sạc đi kèm là sạc hoco, không phải sạc theo máy. 4 Sao",,,,,,,,,Positive,,
Có 1 lỗi khá nghiêm trọng là máy rất hay bị loạn cảm ứng(trừ3sao) là 1 lỗi nữa là máy thường bị đen màn hình tầm 0.1 giây(trừ 1sao) tóm lại sản phẩm tuy mới nhưng trải nghiệm rất tệ không nên mua,,,,Negative,,,,,,,
Tạm chấp nhận camera khá tốt chíp p60 tốt,,Positive,Positive,,,,,,,,
Mình chưa tương tác với bộ phận chăm sóc khách hàng nên chưa rõ.,,,,,,,,Neutral,,,
"Màu sắc: màu vàng gold 
Phiên bản: fullbox giờ nói gì ngoài 2 từ là không biết gì hết . Chỉ nhờ vào nhân viên tư vẩn của cửa hàng . Tư vân lưu lót nên mình tin cậy mà nhận máy thôi .",,,,,,,,Positive,,,
Điện thoại đẹp mẫu mã như hình giao hàng nhanh loa to chữ to màn hình to ổn áp có điều pin không trâu,Negative,,,Positive,Positive,,,,Positive,,
"Ờm... Này là lần thứ 2 đặt sản phẩm của cửa hàng rồi hàng hóa đóng gói tốt, điện thoại mới nguyên seal",,,,,,Positive,,,,,
"Chất lượng sản phẩm: điện thoại cũ trung quốc 
Đúng với mô tả: đúng sản phẩm: sản phẩm giả mạo, sản phẩm chất lượng kém, sản phẩm không như mô tả biết sớm bom luôn rồi chán",,,,,,,,,,Negative,
"Chất lượng sản phẩm: tốt 
Tính năng nổi bật: tốt 
Đúng với mô tả: dung lần đầu tiên mua điện thoại trên sàn cam, đóng gói cẩn thận, máy đẹp, nguyên seal, mua cho ông bà thì ổn nha",,,,,Positive,Positive,,,,,
"Rác rưởi khác biệt pin hao 30% mỗi giờ lướt Facebook, hỗ trợ chậm chạp chờ mãi không ai nhấc máy, shipping hỏng nhẹ khi giao",Negative,,,,,,,Negative,Negative,,
"Chưa đánh giá được độ bền mặt lưng, mới nhận máy.",,,,,Neutral,,,,,,
"Đúng với mô tả: đung như mô tả 
Chất lượng sản phẩm: hoat động tốt",,,,,,,,,,Positive,
"Cửa hàng ở tp.hcm nên mới đặt hàng hôm qua hôm nay đã nhận được. Đúng mẫu mã, màu sắc, có kèm sạc và dán sẵn cường lực + thẻ bảo hành đầy đủ. Sử dụng thử nửa ngày thì thấy tạm ổn, chất lượng ra sao để sử dụng thời gian dài mới biết. Sẽ quay lại đánh giá sau. Shipper thân thiện..",,,,,,,,Positive,Positive,,
Chất lượng ảnh chụp từ camera trong điều kiện đủ sáng ở mức chấp nhận được.,,Neutral,,,,,,,,,
"Sản phẩm mới, không kèm phụ kiện đóng gói cẩn thận, chuẩn bị hàng lâu,giao hàng nhanh, máy chạy không mượt",,,Negative,,,Positive,,,Positive,,
"Nhóm màu: vàng 
Dung lượng lưu trữ: 6gb+128gb giao hàng nhanh chóng và an toàn, tùy chọn màu sắc rực rỡ, 🔋 
Thời lượng pin: khá",Positive,,,,Positive,,,,Positive,,
"Màu sắc: desert 
Dung lượng lưu trữ: 256gb đã luôn",,,,,,,,,,Positive,
"Nhóm màu: vàng hàng rất tốt, giao hàng nhanh cho 5*",,,,,,,,,Positive,,
"mày bị bể ở dưới nút home, mà gia re nên sử dụng vài ngày thử xem sao",,,,,Negative,,Positive,,,,
"Phiên bản: mỹ 2 sim 99% 128gb hàng đẹp,sau 1 time sử dụng",,,,,Positive,,,,,,
"Sau vài ngày sử dụng thử thấy khá mượt mà thích, chơi game xem phim đều ổn",,,Positive,,,,,,,,
Màn có nhiều đốm sáng. Không tốt lắm,,,,Negative,,,,,,,
"Bảo hành chính hãng nên anh em yên tâm mua nha, máy kích hoạt bảo hành đúng ngày nhận hàng.",,,,,,,,Positive,,,
"Đúng với mô tả: không 
Chất lượng sản phẩm: kém chất lượng máy dựng 100%. Khuyên chân thành mọi người đừng mua.",,,,,,,,,,Negative,
"bt đúng mẫu mã không có gì nổi bật. đóng gói sơ sài, hộp móp méo hết cả. shipper giao hàng thì lâu.",,,,,,Negative,,,Negative,,
Color: đen-m hàng nào của đó. Không nên mua dù là rẻ nhất...,,,,,,,,,,,Neutral
"Bật mạng điện thoại rất nóng, pin sử dụng chỉ được 3h từ 100%",Negative,,,,,,,,,,
"Nhóm màu: black 
Dung lượng lưu trữ: 128gb hàng oke nha a shipper cẩn thận nhiệt tình giao hàng rất cẩn thận",,,,,,,,,Positive,,
"Nhóm 
Màu sắc: màu xanh ngọc sản phẩm: sạc dp 10.000mah đang lừa đảo ạ mua điện thoại mà gửi cục sạc dự phòng là sa",,,,,,,,,,Negative,
mua a3s cửa hàng giao f5,,,,,,,,,,Negative,
Thái độ nhân viên tư vấn không bằng đứa trẻ lớp 1.,,,,,,,,Negative,,,
pin thua cái ip12 của t nữa trời. sao ip càng ngày càng đi xuống dẫy trời. buồn cho 1 sao,Negative,,,,,,,,,,
"Chất lượng sản phẩm: hoi ken, cuoc goi toi may không hien thi đen bao man hinh 
Tính năng nổi bật: hang. Kem, cửa hàng choice so dien thoai ma goi mai ma không dung không liên lạc được",,,,Negative,,,,Negative,,,
đúng giao nhanh hàng oke chất lượng tốt,,,,,,,,,Positive,,
"Chất lượng sản phẩm: ung ý 
Tính năng nổi bật: đẹp sang trọng 
Đúng với mô tả: y trên mô tả máy đẹp rẻ hợp túi tiền lướt chạy mượt mọi người lên mua.",,,Positive,,Positive,,Positive,,,,
"Không giải quyết sớm vấn đề của khách, sài cả 2 tuần rồi mà không hỗ trợ kích hoạt bảo hành được cho khách nên không biết sản phẩm phải chính hãng không, hối cửa hàng kích hoạt miết cả 2 tuần trời nhưng cửa hàng cứ kiu đợi miết, mỗi lần chat cho cửa hàng là gặp chat bot rồi gặp nhân viên khác nhau nên 1 vấn đề mà cứ phải nói đi nói lại miết không biết khi nào mới xử lý xong",,,,,,,,Negative,,,
"giao hàng nhanh, chăm sóc kh tốt. mới sử dụng 1 tuần có vẻ ổn. mua cho người lớn sử dụng pin khoẻ tốt",Positive,,,,,,,Positive,Positive,,
"Tính năng nổi bật: tốt 
Đúng với mô tả: tốt 
Chất lượng sản phẩm: tốt
Đóng gói cẩn thận, bọc thành nhiều lớp👍🏻ip 15 màu hồng pastel xinh lắm😍mình săn sale được giá tốt. Mấy bạn thích màu hồng recommend nên mua nha 🇻🇳",,,,,Positive,Positive,Positive,,,,
Máy trày xước mặc lưng sau hể keo,,,,,Negative,,,,,,
Chăm sóc khách hàng từ chối bảo hành pin yếu chỉ trụ 5h sử dụng cơ bản hiệu năng giật khi chạy app nặng,Negative,,Negative,,,,,Negative,,,
"Đóng gói hộp cong queo, pin yếu, loa rè khi nghe audio. Camera chính sáng quá, hiệu năng giật cục.",Negative,Negative,Negative,,,Negative,,,,Negative,
"đóng gói cẩn thận, giao hàng nhanh, sản phẩm đúng như quảng cáo, giá cả hợp lý",,,,,,Positive,Positive,,Positive,,
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt 
Tính năng nổi bật: điện thoại đẹp giao hàng nhanh chóng, sản phẩm tốt, mẫu mã đẹp, giá phải chăng..",,,,,,,Positive,,Positive,,
Gói hàng được giao bởi đơn vị vận chuyển được chỉ định. Hộp sản phẩm không có dấu hiệu bị mở.,,,,,,Neutral,,,Neutral,,
"Chất lượng sản phẩm: tốt, hang nguyen seal",,,,,,,,,,Positive,
"Chất lượng sản phẩm: thảm họa 
Đúng với mô tả: bịp bợm 
Tính năng nổi bật: yếu kém trả 5tr5 không xứng giá, đắt mà dở",,,,,,,Negative,,,,
"Cùi không đúng camera noise, lag app",,Negative,Negative,,,,,,,,
khá thất vọng khi nhận máy không đúng như mô tả phân loại máy 99% như cửa hàng đăng tải,,,,,,,,,,Negative,
"Màu sắc: bạc 
Phân loại: nguyên seal chất lượng: tốt nha máy trong tầm giá 2tr5 thì không đòi gì thêm tính năng:về nâng lên miui 14 android 13 khá mượt chip với pin đúng như mô tả chất liệu:khá tốt cứng bền còn sài trong bao lâu thì tuỳ theo ng sử dụng",Positive,,Positive,,Positive,,Positive,,,,
Thiết bị có thời lượng pin khoảng 8 giờ cho các tác vụ cơ bản.,Neutral,,,,,,,,,,
"Thông số camera chính là 50MP, mình chưa chụp thử.",,Neutral,,,,,,,,,
"Màu sắc: vàng màn hình rõ ràng và sáng, thiết kế nhỏ gọn và dễ mang theo, thời lượng pin lâu dài, kết nối mạng 4g nhanh chóng,",Positive,,,Positive,Positive,,,,,,
Pin nhanh hết pin,Negative,,,,,,,,,,
"Đúng hàng đặt, sẽ test sau.",,,,,,,,,,Neutral,
"Samsung không xuất hóa đơn cho người mua, nhờ hỗ trợ khách thì nhân viên nói tùm lum tào lao để không xuất hóa đơn cho khách. Rất tệ về thái độ của nhân viên. Cần xem lại",,,,,,,,Negative,,,
"Đúng với mô tả: đúng hàng đúng ảnh 
Chất lượng sản phẩm: tốt 
Tính năng nổi bật: chơi game mượt hàng tốt đẹp",,,Positive,,,,,,,,
Có cần sao lưu dữ liệu trước khi thực hiện cập nhật phần mềm không?,,,,,,,,,,Neutral,
Sử dụng công nghệ sạc thông thường. Có đầy đủ tem nhãn.,Neutral,,,,,,,,,,
"Nhà bán hàng đóng gói rất kỹ, lớp chống sốc cực dầy. Bạn nhân viên giao hàng nhiệt tình, trưa nắng gắt mà vẫn giao hàng tới mình đúng giờ.",,,,,,Positive,,,Positive,,
"gps mất vị trí liên tục, dẫn sai đường. khác với mô tả định vị chuẩn. tính năng bản đồ lag, bật gps làm pin tụt nhanh, chăm sóc khách hàng chỉ hướng dẫn chung chung",,,,,,,,Negative,,Negative,
"cửa hàng tư vấn nhiệt tình, đóng gói kỉ và giao hàng nhanh. hình ảnh mang tính chất nhận xu",,,,,,Positive,,Positive,Positive,,
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb tuổi thọ pin lâu dài, màn hình sống động, bóng bẩy và thanh lịch, thiết kế tuyệt đẹp,",Positive,,,Positive,Positive,,,,,,
chất lượng tệ. khác xa hình ảnh quảng cáo. pin kém. máy chậm chạp. pin sụt nhanh. đóng gói sơ sài. ship chậm 1 tuần. chăm sóc khách hàng ko chuyên nghiệp,Negative,,Negative,,,Negative,,Negative,Negative,,
"variation3: đen xanh vàng 
Dung lượng lưu trữ: 32gb 
Phân loại sản phẩm: 50cai. máy không còn zin, sử dụng tạm được.cửa hàng nhiệt tình. đóng gói cẩn thận.",,,,,,Positive,,,,,
