sentence,aspect,sentiment
"Hàng giao đúng như quảng cáo, qua tăng có đủ,que chọc sim, ốp lưng, miếng dán cường lực, máy rất đẹp, mới tinh luôn, máy chạy rất mượt, ram 8g, bộ nhớ 256g ,pin 5000, sạc nhanh, mình rất là hài lòng, rất là tốt, cửa hàng giao hàng rất nhanh, đong gói kĩ,cửa hàng rất là uy tín, mọi người nên mua và ủng hộ cửa hàng này, rất là uy tín, sẽ ủng hộ cửa hàng tiếp tục, cảm ơn cửa hàng.",Packaging,positive
Màu máy: màu xanh sản phẩm: oppo a15s 8/256gb cửa hàng ơi mình đã nhận được điện thoại rồi máy còn mới sử dụng rất là tốt camera siêu nét luôn ý pin cũng rất là tốt nha mình sử dụng hơn một ngày vẫn còn ổn lắm vừa tầm giá mình bỏ ra quá chuẩn luôn nha mình sẽ ủng hộ thêm và giới thiệu mọi người ủng hộ cửa hàng đóng gói cũng rất cẩn thận giao hàng thân thiện tặng cửa hàng 5 sao để khích lệ nha,Shipping,positive
Giá sản phẩm tại thời điểm mua khớp với thông tin quảng cáo. Đơn vị vận chuyển là đơn vị được chỉ định bởi sàn.,Price,neutral
"Hàng đúng hình đúng với mô tả, chất lượng phù hợp giá tiền, hình ảnh và clip ở đây chỉ mang tính lấy xu thôi",Price,positive
máy không xai được youtube . lag chạy rất nặng máy. pin tuột rất nhanh. còn hơn 20% la tự sập nguồn luôn. mua máy về như cục gạch,Performance,negative
"điện thoại mới sử dụng mà lag lắm, lâu lâu đang làm tự dưng đứng máy xong chờ hơn chục phút nó tự tắt đi bật lại, lưu trữ ảnh cũng không được bao nhiêu. Nói tóm lại tạm với tầm giá thôi. (hình ảnh chỉ mang tính chất nhận xu)",Performance,negative
"Màu sắc: xanh dương ram/bộ nhớ: ram 8g/128g màn hình bị ám ảnh thanh điều hướng và ám nhẹ 1 số nơi.mình đặt 128g cửa hàng giao 256g coi như bù trừ,cửa hàng mô tả chất lượng chưa chính xác lắm",Display,negative
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt
Chắc do săn sale nên không có tai nghe:)))",General,positive
"Đúng với mô tả: tốt 
Chất lượng sản phẩm: tốt 
Tính năng nổi bật: tốt
Sản phẩm tốt, tốt với tầm giá này",Price,positive
"Color family: yellow storage capacity: 6gb+128gb giao hành rất nhanh, mới sử dụng nhưng thấy ổn, sẽ cập nhật sau thời gian sử dụng. ảnh chụp mang tính chất nhận coin",Shipping,positive
"Nhóm màu: đen 
Dung lượng lưu trữ: 6gb+128gb 📸 
Chất lượng camera:tuyet voi",Camera,positive
Giá bán của sản phẩm tương xứng với cấu hình được trang bị.,Price,neutral
Màu sắc: màu ngẫu nhiên sản phẩm: lần đầu tiên mua máy trên cửa hàng nhận máy về ưng ý lắm máy còn mới sử dụng rất là tốt quan trọng là phù hợp với giá tiền mình bỏ ra mà chất lượng thì cũng rất là ưng ý mọi chức năng đều rất là tốt cửa hàng tư vấn nhiệt tình mình sẽ ủng hộ thêm lần sau nha tặng cửa hàng 5 sao chúc cửa hàng mua may bán đắt cảm ơn cửa hàng,Shop_Service,positive
pin sạc pin hay gián đoạn camera màu bị ám xanh đóng gói thiếu lớp lót chống va,Camera,negative
"camera selfie xử lý quá đà, ảnh nhân tạo. khác với mô tả ảnh tự nhiên. tính năng làm đẹp ko tắt hoàn toàn. hiệu năng mở camera chậm, ship tới muộn",Performance,negative
"hỗ trợ khách kiểu này thì có nước dẹp tiệm, nhắn tin hỏi mà trả khó chịu ai làm gì tụi mày.",Shop_Service,negative
"Nhóm màu: black 
Dung lượng lưu trữ: 512gb 🔋 
Thời lượng pin:sử dụng lâu 📸 
Chất lượng camera:nét nhú sony kk ⚡ 
Hiệu suất:cũng ổn chơi game sịn",Performance,positive
"Chất lượng sản phẩm: tốt
Đắn đo mãi mới đặt hàng nhưng nhận được điện thoại ưng nhé, maý mới sử dụng gần tuần thấy máy sử dụng mượt, pin hao chậm, cửa hàng uy tín tư vấn nhiệt tình",Shop_Service,positive
"Sản phẩm: phần mềm youtube xem phim không được , cứ xoay vòng vòng.",Software,negative
"Máy nát và chậm lắm , nói tóm lại tiền nào của nấy , lại còn bị cong vênh",Price,negative
"Máy nóng tạm ổn pin tụt nhanh. Máy sử dụng các tác vụ cơ bản đã giật lag, chơi game thì thôi khỏi nói. Quá thất vọng.",Performance,negative
Nên mua nha mọi người máy sử dụng mượt lắm pin khỏe chơi game ngon,Performance,positive
"Dở tệ không khớp kém chăm sóc kh thô lỗ. Hiệu năng nóng bỏng.,",Performance,negative
Sản phẩm: sản phẩm chất lượng kém hàng đã sử dụng rồi. Chất lượng pin kém nhanh hết pin... Hàng quá dỏm ??? xin bái biệt!!,Battery,negative
Màu sắc: vàng sản phẩm: pin sạc dp 10.000mah ac giao không đung hang,Battery,positive
"Chất lượng sản phẩm: tecno 
Đúng với mô tả: tecno 
Tính năng nổi bật: cuối cùng cũng nhận hàng trễ hơn dự kiến 2 ngày chả hiểu sao vận chuyển kiểu gì từ hcm về brvt mà lâu thế.",Shipping,negative
Tệ😡😡😡🥵🥵🤬🤬🤬,General,negative
"Sau 2 tuần thấy ổn, máy mượt, lâu lâu hơi lag nhẹ, vẫn chấp nhận được, pin trâu. Giao nhanh",Battery,positive
chất lượng sản phẩm build rẻ nhiều kẽ hở. đúng với mô tả không đúng hoàn toàn. tính năng nổi bật pin nhanh tụt. review máy chạy nóng hiệu năng bị throttling pin báo 100% rồi tụt nhanh trong vài giờ. đóng gói sơ sài túi bóng mỏng nên vỏ bị xước. chăm sóc khách hàng khó liên hệ phản hồi chậm không giải quyết,Performance,negative
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb giá trị tuyệt vời cho số tiền bỏ ra, khả năng sạc nhanh, giá trị tuyệt vời cho số tiền bỏ ra, bóng bẩy và thanh lịch, hiệu suất mượt mà,",Battery,positive
"Máy đẹp màn đẹp nhưng sạc hơi lâu, trải nghiệm màn cong quá muợt, tiếc sạc thấp quá. Cường lúc tặng kèm tốt! quá ngon trong tầm giá",Price,positive
sản phẩm đúng như mô tả. máy đẹp như hàng mới luôn có dịp sẽ ủng hộ cửa hàng trong lần tiếp theo,Design,positive
"màu máy: vàng gôn sản phẩm: samsung j5 prime cửa hàng bán hàng uy tín riết chắc tôi hết tiền với cái cửa hàng này luôn quá bán đồ gì đâu mà món nào cũng rẻ cũng chất lượng hết lãnh lương là tôi qua mua liền, đặt online liền hai cái 10 điểm cho cửa hàng nha nhận hàng rất là ưng ý luôn chất lượng tuyệt vời mà giá cả thì phải chăng nữa nhân viên dễ thương tư vấn nhiệt tình nhé màn hình tuyệt đẹp bộ xử lý nhanh và hiệu quả giá trị tuyệt vời cho số tiền bỏ ra tặng cửa hàng đủ năm sao",Display,positive
"Dung lượng lưu trữ: 8 + 256 gb thiết kế mượt mà, hoàn hảo cho người sử dụng hiện đại, màn hình lớn, tuyệt vời cho việc tiêu thụ đa phương tiện, cửa hàng rất nhiệt tình, trả lời mọi thắc mắc với thái độ rất tốt. chưa biết máy có bền không nhưng mua hàng gặp được cửa hàng tốt và uy tín là mừng rồi, cảm ơn cửa hàng và đội ngũ vận chuyển, ảnh chỉ mang tính chất nhận xu thôi",Design,positive
"Lởm khởm bịp bợm lag ù, shipping trễ nãi",Performance,negative
"Hiệu năng nhanh và mượt mà., độ phân giải hd cho hình ảnh sắc nét., thiết kế mỏng nhẹ, rất đẹp!, màn hình lớn, phù hợp với đa phương tiện., thiết kế bền chắc, sử dụng lâu dài., màn hình cảm ứng mượt mà, phản hồi nhanh., camera kép chụp ảnh tuyệt đẹp., kết nối 4g nhanh chóng, tuyệt vời cho việc duyệt web.,",Display,positive
Chất lượng sản phẩm: hiệu năng và phần mềm vận hành ổn định khi dùng các ứng dụng cơ bản.,Software,neutral
"Điện thoại còn đẹp, sử dụng tốt, cửa hàng đóng gói kỹ ship hàng rất nhanh 2h là có. Nhận về máy đang chạy android 11 up lên android 14 vẫn mượt mà. Lúc đầu tưởng chết cảm biến vân tay vì không thiết lập imprint được nhưng mà sau một hồi mày mò setting thì đã bật lên được. Để chơi game trên dòng pixel thì mình không đánh giá cao vì máy rất nóng nên chỉ sử dụng làm máy phụ là hợp lý.",Software,positive
"Chất lượng sản phẩm: tạm tạm 
Đúng với mô tả: không đúng 
Tính năng nổi bật: .",General,neutral
"Video mang tính chất nhận xu. Điện thoại đẹp và mới hơn mình nghĩ, máy to nữa. Mình mua cho em gái nên với giá này và máy này sử dụng rất oke, ban đầu cũng hơi lo khi mua máy trên mạng nhưng rất may gặp được cửa hàng uy tín, được kiểm hàng rồi thanh toán cho ship rất yên tâm",Price,positive
Điện thoại nguyên seal,General,positive
bền không chưa biết theo thời gian cửa hàng giao hàng nhanh,Shipping,positive
Color family: color random sản phẩm: tốt lắm nha cửa hàng mình đã mua lần thứ hai máy tốt chuẩn giá rẻ phù hợp với tiêu chí sử dụng của mình nói chung là mọi chức năng đều rất là ổn đúng máy chính hãng sử dụng cũng tốt lắm cửa hàng tư vấn nhiệt tình cảm ơn cửa hàng nhiều nhé tốt thì mình sẽ ủng hộ cửa hàng dài dài tặng cửa hàng 5 sao nha,Price,positive
"Camera không chụp được trong nhà. Ảnh tối, noise. Khả năng chụp trong nhà kém. Chụp trong nhà bị tối và noise nhiều, không sử dụng được. Pin nóng",Battery,negative
máy lúc nhận mình mua 97% mà nó gần như mới . màn hình không trầy sước . sau 29 ngày sử dụng thì thấy tốt . pin tốt . sẽ ũng hộ cửa hàng lần sau,Battery,positive
"chưa bao giờ nghĩ là sẽ mua 1 thứ giá trị như vậy trên shopee. nhưng ho vọng là điện thoại không có vấn đề gì, trộm vía đơn hàng không có vấn đề, nhưng màu đen không đẹp lắm 😅 cửa hàng giao nhanh thần tốc nha hix, mua bị đắt hơn ngày sale gần 1 củ, biết thế đợi sale rồi mua",Design,negative
"Chăm sóc khách hàng hỗ trợ chậm chạp. Phản hồi quá lâu. Dịch vụ tệ. Gửi mail hỗ trợ mà cả tuần không thấy trả lời, gọi điện cũng phải chờ lâu. Hiệu năng máy cũng không được mượt mà",Shop_Service,negative
Đóng gói sản phẩm có đủ các lớp chống sốc theo tiêu chuẩn,Packaging,neutral
"Giao hàng ""chậm"" không báo trước, đóng gói chỉ túi nilon. Camera zoom kỹ thuật số kém, pin không như quảng cáo.",Packaging,negative
Khớp số imei đang test,General,neutral
Chất lượng sản phẩm: độ sáng và độ tương phản của màn hình ở mức chấp nhận được trong nhà.,Display,neutral
Hiệu năng máy tuột dốc sau vài lần cập nhật. Camera chụp chân dung không xóa phông tốt. Sạc nhanh lúc nhận lúc không. Ứng dụng liên tục bị force close. Chăm sóc khách hàng xử lý yêu cầu bảo hành quá chậm. Shipping phải mất 8 ngày,Shipping,negative
"Chất lượng sản phẩm: không như mong đợi, máy bị đứng, tiền nào của đó",Price,neutral
"Tính năng nổi bật: tải và xử lí dữ liệu nhanh 
Đúng với mô tả: tốt 
Chất lượng sản phẩm: tốt
Máy chạy khá nhanh nhìn chúng rất tốt trong tầm giá",Performance,positive
Màn hình lớn. Sạc nhanh. Camera quay chụp không đẹp. Phù hợp cho phụ huynh sử dụng.,Camera,negative
"Tính năng nổi bật: pin trâu 
Chất lượng sản phẩm: khá mua để chơi mỗi tft thôi mà không hiểu sao vẫn lag. Máy nhanh nóng. Còn lại thì oke, pin trâu.",Performance,negative
Chăm sóc khách hàng yêu cầu chờ camera chụp xa thiếu nét pin tụt 25% giờ,Shop_Service,negative
"Hàng mua chính hãng, đủ phụ kiện kèm theo...không có gì để nói ...quảng cáo sao nhận y vậy..rất tệ giao hàng đợt này quá lâu..",Shipping,negative
"Dung lượng lưu trữ: 128gb 
Nhóm màu: trắng băng tuyết 
Phân loại sản phẩm: 6gb khá ổn áp ^^",General,positive
Chất lượng sản phẩm đủ sử dụng. Pin không đạt yêu cầu. Dịch vụ sau bán hàng kém liên hệ không trả lời được cái cho trả hàng không kì kèo nhưng mà giờ chờ mua cái khác lâu quá nên không trả.,Battery,negative
Variation3: bạc variation1: không hộp (mới 100%) lần đầu tiên mua qua mạng hơi sợ xíu nhưng lúc bốc hàng máy mới không một vét xướt mua với giá 2 triệu 7 là quá ngon rồ sạc kèm theo là hiệu hoco sẽ ủng hộ cho lần tiếp theo,Design,negative
Đóng gói không tốt máy bị xước pin hao pin camera selfie giả tạo,Packaging,negative
Chính sách bảo hành được ghi rõ trong tài liệu hướng dẫn.,Shop_Service,neutral
Quy trình bảo hành của shop theo đúng tiêu chuẩn. Nhân viên trả lời đúng trọng tâm câu hỏi.,Shop_Service,neutral
"Máy giật lag liên tục khi đa nhiệm. Pin tụt thảm hại, chỉ sử dụng được 3h sử dụng liên tục. Chăm sóc khách hàng trả lời không đúng trọng tâm, không có giải pháp cụ thể cho lỗi pin.",Shop_Service,negative
"mình chọn sản phẩm này để vẽ. ban đầu khá lo lắng về độ hiển thị màu sắc nhưng sản phẩm ra màu rất tốt, tranh độ lệch màu dường như không thấy. màn hình to làm mình có nhiều không gian vẽ hơn. nếu bạn nào chọn 1 thiết bị giá rẻ để luyện digital art thì mình rec em này ạ. tác vụ giải trí tốt. cửa hàng nhiệt tình gói hàng cẩn thận.",Packaging,positive
"Mới sử dụng đang hơi lỗi phần mềm thì phải hay bị out ra ngoài khi đang sử dụng, cần xem xét thêm",Software,negative
"lúc đầu nghĩ mua online không có bảo hành. nhưng không, bảo hành 18 tháng lận nha. giao hàng nhanh chóng, cửa hàng trả lời tin nhắn nhanh.",Shop_Service,positive
"Màu sắc: màu ngẫu nhiên sản phẩm: tốt,sản phẩm của cửa hàng đúng chất sáng xịn mịn, giá cả rất hợp túi tiền, nhận hàng thấy cửa hàng đóng gói rất cẩn thận và chu đáo luôn, mình rất hài lòng,mãi ủng hộ cửa hàng",Packaging,positive
"Màn hình ám xanh, cân bằng trắng sai, nhìn mỏi mắt. Khác với mô tả hiển thị chuẩn. Tính năng HDR mờ nhạt, camera chụp màu lệch, đóng gói kém bảo vệ",Display,negative
Màu sắc: đen bộ nhớ: ram 8g/128g máy hơi cũ nhưng vẫn ổn,General,positive
"Sản phẩm: hàng lỗi hoặc bị hư hỏng bị hư loa, liên hệ không ai trả lời",Audio,negative
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt 
Tính năng nổi bật: chip mạnh, mượt sản phẩm giá rẻ. giao hàng nhanh, máy siêu mượt luôn, màu sắc cửa hàng giao cũng đúng nữa. pin ở mức ổn, máy 8/128 chứ không phải 8/256 như cửa hàng mô tả. chất lượng sản phẩm tốt",Performance,positive
pin điện thoai sử dụng chưa được 1 tháng đã phồng rộp. đến bảo hành tại tt oppo nhắn tin không thấy seri của pin và điện thoại. liên hệ với nbh được biết đây là hàng xách tay nên chỉ bảo hành ở cửa hàng. thông tin này không hề thông báo cho khách khi mua hàng. mọi ngườicân nhắc khi mua hàng.,Battery,negative
"Nhóm màu: màu xanh lá cây 
Dung lượng lưu trữ: 128gb màu sắc tuyệt đẹp, khó lựa chọn!, tính năng sáng tạo, thích cổng usb-c!,",Design,positive
"Sao máy sài được một ngày nay đen thui màn hình luôn rồi....lật mặt sau thì điện thoại dán băng keo tùm lum,cửa hàng làm ăn kì vậy",Display,negative
"Hàng ngon bổ rẻ, giao hàng nhanh,",Shipping,positive
"Màu sắc: bạc 
Phân loại: nguyên seal không sạc hàng tốt như mô tả",General,positive
"Chất lượng sản phẩm: tốt 
Đúng với mô tả: trên cửa hàng 
Tính năng nổi bật: pin trâu đóng hàng rất cẩn thận",Packaging,positive
"Màn hình hiển thị ở mức chấp nhận được trong tầm giá. Thiết kế của máy khá đơn giản, không có điểm nhấn.",Design,neutral
"Camera lấy nét sai. Hay out nét. Lấy nét kém. Chụp ảnh tĩnh mà vẫn bị out nét, lấy nét rất khó. Chăm sóc khách hàng khó liên lạc. Đóng gói sơ sài",Packaging,negative
Color family: random color sản phẩm: hàng đẹp lắm ạ. Mua được sale giá đã rẻ chất lượng còn hời nữa chứ. Với giá như này mình không nghĩ là mua được sản phẩm như này đâu ạ. ☺️Cửa hàng dễ thương tư vấn nhiệt tình🌸cửa hàng còn tặng quà kèm theo cute lắm ạ 🥰giao hàng nhanh lắm luôn mới đặt 2 ngày đã có rồi ạanh giao hàng vui tính lại đẹp trai 😍 sẽ ủng hộ cửa hàng dài dài nhé,Shop_Service,positive
"Chất lượng sản phẩm: điện thoại sử dụng nóng,hao pin hơn cả điện thoại cũ pin thấp của tôi,cửa hàng không cho đổi,đem kiểm tra rồi trả lại nói bình thường",Shop_Service,negative
"Kém khác xa bình thường pin tụt % nhanh. Camera focus không chuẩn.,",Battery,negative
Máy vippro quá nháy nhây không lên luôn cửa hàng bán tuyet ca là voi,General,negative
Nên mua cửa hàng này nhé. Vote cửa hàng 5 star. Chế độ bảo hành cũng tuyệt vời nhé! lần sau sẽ ủng hộ cửa hàng tiếp,Shop_Service,positive
"Dễ hỏng nút nguồn khác hoàn toàn với thực tế không có chế độ tiết kiệm pin. Pin tụt nhanh kinh khủng dù đã tiết kiệm tối đa.,",Battery,negative
Đóng hàng thiếu cáp camera zoom kém shipping chậm,Packaging,negative
"Tệ sai không có shipping kéo dài. Đóng gói hỏng, hộp bị vỡ.,",Packaging,negative
"Mua giúp bạn với giá 17.1tr thấy giá cũng ổn. Hộp được bọc tốt không móp méo, ngoại hình mở ra tốt. Tuy nhiên bạn trải nghiệm kêu máy nghe nhạc rất nóng. Tần số 60hz khi lướt thấy giật lắm",Price,neutral
"Màu sắc: bạc 
Phân loại: nguyên seal không sạc cửa hàng uy tín 99.99% nha.sẽ ụng hộ thêm hàng đúng như mô tả .",General,positive
Pin bị phồng nhẹ sau 1 năm. Pin không giữ được lâu. Hiệu năng thỉnh thoảng giật cục. Máy pin yếu không dám sử dụng nhiều. Đóng gói quá sơ sài không có hộp bảo vệ,Packaging,negative
Hiệu năng lag khi mở nhiều tab. Đóng gói lỏng lẻo phụ kiện rơi vãi. Chăm sóc khách hàng từ chối đổi hàng vô lý.,Packaging,negative
Đóng hàng thiếu cáp camera zoom kém shipping chậm,Shipping,negative
"giao nhanh, nguyên seal. máy đã được kích bảo hành, nhưng dưới 2 tuần nên coi như không mất gì, giá rất tốt",Price,positive
"Nhóm màu: đen 
Dung lượng lưu trữ: 16gb máy hơi chậm nhanh hết pin camera trước bị nứt hay gì đó còn lại thì tốt",Battery,negative
"Giao hàng chậm không thông báo, đóng gói sử dụng túi nhựa mỏng. Camera phóng to số kém chất lượng, pin không đạt chuẩn quảng cáo.",Shipping,negative
pin chai nhanh sau vài tháng. dung lượng pin giảm sút. hiệu năng giảm rõ rệt. máy mau hết pin hơn lúc mới mua. thỉnh thoảng tự động tắt nguồn. đóng gói lỏng lẻo,Software,negative
"hàng giống như trên ảnh, đủ số lượng, cửa hàng chuẩn bị hàng nhanh và giao nhanh cho khách",Shipping,positive
Chăm sóc khách hàng hứa hẹn suông không thực hiện pin tụt đột ngột không báo trước hiệu năng yếu với app nặng,Shop_Service,negative
"Phân loại sản phẩm: điện thoại y20 màu sắc sống động và rực rỡ, thiết kế sang trọng, hiệu năng mượt mà, giao diện dễ sử dụng, thời lượng pin lâu dài, chất lượng camera ấn tượng, giá trị tuyệt vời cho số tiền, không gian lưu trữ rộng rãi. Android dễ sử dụng, chỉ cần nhập gmail vào là sử dụng các app rất ổn. Bình chọn cho cửa hàng 5 sao",Software,positive
"Pin kém, phải sạc 2-3 lần/ngày. Đóng hàng không được dán niêm phong. Chăm sóc khách hàng chỉ trả lời theo kịch bản, không giải quyết được vấn đề.",Shop_Service,negative
Kém. Máy bị đơ cứng. Chăm sóc khách hàng thờ ơ. Lag không làm được gì. Pin tệ. Chăm sóc khách hàng không có giải pháp,Battery,negative
"Tính năng nổi bật: hàng giao đúng hẹn.máy đẹp, sử dụng tốt",Design,positive
