data,Battery,Camera,Performance,Display,Design,Software,Packaging,Price,Audio,Warranty,Shop_Service,Shipping,General,Others
"Chất lượng sản phẩm: pin yếu, máy nóng. Đúng với mô tả: không đúng quảng cáo hiệu năng. Tính năng nổi bật: camera mờ. Review: pin tụt nhanh, máy nóng khi chơi game. Camera chụp ảnh thiếu chi tiết. Đóng gói sơ sài, ship trễ 3 ngày. Chăm sóc khách hàng trả lời chậm",Negative,Negative,Negative,,,,Negative,,,,Negative,Negative,,
Chất lượng sản phẩm: giật lag kém hiệu năng. Đúng với mô tả: quảng cáo khác mượt mà. Tính năng nổi bật: sạc đầy pin chậm lâu. Review: máy giật pin sạc lâu kinh. Gói sơ đóng sài trễ ship muộn,Negative,,Negative,,,,Negative,,,,,Negative,,
"Chất lượng sản phẩm: hiệu năng giảm rõ sau 1 tháng. Đúng với mô tả: chip yếu hơn quảng cáo. Tính năng nổi bật: không có. Review: mở game nặng giật lag. Pin chai nhanh, ship chậm",Negative,,Negative,,,,,,,,,Negative,,
"Chất lượng sản phẩm: tốt đắn đo mãi mới đặt hàng nhưng nhận được điện thoại ưng nhé, maý mới sử dụng gần tuần thấy máy sử dụng mượt, pin hao chậm, cửa hàng uy tín tư vấn nhiệt tình",Positive,,Positive,,,,,,,,Positive,,,
Máy thì sử dụng tốt nhưng sạc thì lúc cắm vô lúc không vô sạc chậm nựa,Negative,,,,,,,,,,,,,
Sản phẩm tuyệt vời thích hợp làm máy phụ nhắn tin lướt tik tok thả ga có chơi nhẹ thì được,,,Neutral,,,,,,,,,,,
"Nhóm màu: black giao nhanh, điên thoại nhỏ xíu luôn à, cưng lắm",,,,,Positive,,,,,,,Positive,,
"Đúng với mô tả: . Chất lượng sản phẩm: . Dành cho những người thật sự cần anh chị fp em có ai bị : trào ngược dạ dày, họng lúc nào cũng có đờm ở cổ cứ mắc mắc khó chịu ở cổ ợ,khó thở, buồn nôn lúc đ ánh răng,đau bung râm râm",,,,,,,,,,,,,,Neutral
"Chất lượng sản phẩm: không đúng Đúng với mô tả: không đúng cửa hàng làm ăn bát nháo đổi lỗi cho ng tiêu sử dụng, đã liên hệ shoppee và đang chờ giải quyết, sốc ngang sốc dọc luôn😡",,,,,,,,,,,Negative,,,
Mang về sử dụng được 2 tuần có lúc giật lag không cả tắt được máy lag hết cỡ có lúc đang game văng ra và lag luôn có lúc không vào được tik tok vào là bị lagg luôn,,,Negative,,,,,,,,,,,
Chất lượng sản phẩm: loa ngoài nhỏ và không có âm trầm (bass). Đúng với mô tả: âm thanh to và có bass. Tính năng nổi bật: nghe nhạc không có bass nghe rất dở. Review: loa nhỏ xíu và không có bass. Camera selfie bị nhòe. Ship hàng bị giao sai tên người nhận,,Negative,,,,,,,Negative,,,Negative,,
"Chất lượng sản phẩm: tuyệt vời Đúng với mô tả: đúng với mô tả sản phẩm rất tốt, không sai khi nói đây là gaming phone chính hãng ngon nhất trong tầm giá",,,,,,,,Positive,,,,,,
"Chất lượng sản phẩm: hoàn thiện rẻ tiền, vết xước nhỏ khi mở hộp. Đúng với mô tả: hình promo khác thực tế. Tính năng nổi bật: thiết kế không nổi bật. Review: cảm giác cầm rẻ, case không khớp, đóng gói sơ sài, ship trễ, chăm sóc khách hàng đổi trả phức tạp",,,,,Negative,,Negative,,,Negative,,Negative,,
Tính năng:giá điện thoại  chất lượng:tốt   chất liệu:tốt đóng gói cẩn thận síp nhanh  ,,,,,,,Negative,,,,,Negative,,
Máy sử dụng mau nóng và nhanh hết pin,Negative,,,,,,,,,,,,,
Chất lượng sản phẩm: giao diện có nhiều lỗi dịch thuật tiếng việt. Đúng với mô tả: ngôn ngữ hoàn chỉnh. Tính năng nổi bật: đọc các mục cài đặt rất khó hiểu. Review: nhiều từ ngữ dịch sai làm tôi khó sử dụng. Pin sạc đầy nhưng tụt nhanh. Ship cod mà không được kiểm hàng trc,Negative,,,,,Negative,,,,,,Negative,,
Pin sạc pin không ổn định camera thiếu độ sâu đóng gói thiếu chống va đập,Negative,Negative,,,,,Negative,,,,,,,
Màu sắc: desert dung lượng lưu trữ: 256gb 🔋thời lượng pin:tốt,Positive,,,,,,,,,,,,,
"Dở hơi bị lừa hiệu năng chậm như rùa thi chạy với thỏ ngủ quên, hỗ trợ kém không giải quyết khiếu nại kiểu 'thôi kệ, mua lầm thì chịu', camera noise đầy khi low light như chụp ảnh trong hang dơi",,Negative,Negative,,,,,,,,Negative,,,
"Đã nhận được hàng tốt, cửa hàng rất đàng hoàng, còn chờ sử dụng thử ít hôm xem",,,,,,,,,,,,,Neutral,
"Chất lượng sản phẩm: chính sách đổi trả phức tạp. Đúng với mô tả: quảng cáo đổi trả dễ dàng nhưng thực tế thì không. Tính năng nổi bật: không. Review: máy lỗi muốn đổi trả thì cửa hàng yêu cầu đủ thứ giấy tờ thủ tục phức tạp, cố tình làm khó khách hàng",,,,,,,,,,Negative,,,,
Hiệu năng đáp ứng được các tác vụ cơ bản hàng ngày.,,,Neutral,,,,,,,,,,,
"Chất lượng sản phẩm: phụ kiện kèm sai thông số hoặc thiếu. Đúng với mô tả: phụ kiện không đầy đủ. Tính năng nổi bật: unbox gây thất vọng. Review: thiếu adapter, cáp không đúng chuẩn, ship chậm",,,,,,,,,,,,Negative,,
"Vỏ xước 'mới 100%' sai ngoại hình dơ, cảm giác rẻ tiền,",,,,,Negative,,,,,,,,,
Bị khoá tk khi mua hàng tại shopdunk,,,,,,,,,,,,,,Neutral
Chính sách đổi trả của shop khá rõ ràng. Camera selfie chụp trong nhà tạm được.,,Neutral,,,,,,,,Neutral,Neutral,,,
"Chất lượng sản phẩm: tệ Tính năng nổi bật: không có gì nổi bật nói chung sản phẩm tệ không nên mua, chậm loa thì rè",,,,,,,,,Negative,,,,,
"Tệ hại sai sự thật lag, pin kém. Máy sử dụng rất bực mình, lag giật liên tục. Pin thì yếu xìu. Gọi lên tổng đài hỗ trợ thì không ai nghe máy.",Negative,,Negative,,,,,,,,Negative,,,
Dung lượng lưu trữ: 128gb nhóm màu: hồng thanh đào phân loại sản phẩm: 6gb giao hàng đúng hẹn. Nhân viên giao hàng vui vẻ,,,,,,,,,,,,Positive,,
"Chất lượng sản phẩm: camera trước bị hạt. Đúng với mô tả: ảnh selfie kém sắc nét. Tính năng nổi bật: làm đẹp quá đà. Review: selfie mặt bị mờ chi tiết, da nhựa, tóc bị nhòe, không chỉnh sửa được",,Negative,,,,,,,,,,,,
"Chất lượng sản phẩm: không xứng đáng Đúng với mô tả: phóng đại Tính năng nổi bật: tầm thường mua máy 5tr nhưng hiệu năng kém, không xứng giá, hối hận",,,Negative,,,,,Negative,,,,,,
"Chất lượng sản phẩm: máy 93% đúng với mô tả: ngoại hình vẫn đẹp Tính năng nổi bật: loa cực kỳ hay cho anh em thích nghe nhạc nhé máy cạnh viền hơi trầy xíu, lưng có xước lông mèo dài 3-4cm, pin thấy hơi yếu ( có lẽ do máy cửa hàng gửi hơi chai pin, nhưng cửa hàng đã hỗ trợ 1 phần) loa hay khỏi bàn, màn đẹp, không dính tk mi nhé anh em nói chung nên mua để trải nghiệm",Negative,,,Positive,Negative,,,,Positive,,,,,
Variation3: mỹ 2 sim 99% 128gb tính năng:sản phẩm đúng mô tả chất lượng:sản phẩm đúng mô tả ,,,,,,,,,,,,,Positive,
Điện thoại hư hỏng nặng không đùng được ,,,,,,,,,,,,,Negative,
"Chất lượng sản phẩm: mic thu âm yếu, thu tạp âm. Đúng với mô tả: chất lượng cuộc gọi không ổn. Tính năng nổi bật: khử ồn không hiệu quả. Review: khi gọi bên kia không nghe rõ, tiếng vang, chăm sóc khách hàng trả lời chậm",,,,,,,,,Negative,,Negative,,,
"Chất lượng sản phẩm: hiệu năng không ổn định. Đúng với mô tả: quảng cáo thổi phồng. Tính năng nổi bật: pin yếu, máy nóng. Review: máy lag khi chơi game, nóng ran. Pin hết nhanh dù lướt web. Đóng gói lỏng lẻo, ship trễ. Chăm sóc khách hàng hỗ trợ chậm",Negative,,Negative,,,,Negative,,,,Negative,Negative,,
"Chất lượng sản phẩm: tổng thể nhiều lỗi nhỏ cộng dồn. Đúng với mô tả: trải nghiệm được thổi phồng. Tính năng nổi bật: nhiều điểm yếu cùng lúc. Review: camera, pin, hiệu năng đều có vấn đề, đóng gói và shipping tệ, chăm sóc khách hàng không nhiệt tình",Negative,Negative,Negative,,,,Negative,,,,Negative,Negative,,
Đúng với mô tả: màn thay hay loạn cảm ứng Chất lượng sản phẩm: kém sản phẩm: sản phẩm chất lượng kém,,,,,,,,,,,,,Negative,
Cửa hàng không hỗ trợ khách hàng đổ trả. Viện lắm lý do đổ lỗi cho khách hàng mọi người không mua sop này nữa,,,,,,,,,,,Negative,,,
Giá cả của sản phẩm tương xứng với những gì nó mang lại. Chính sách bảo hành ở mức cơ bản như các cửa hàng khác.,,,,,,,,Neutral,,Neutral,Neutral,,,
"Chất lượng sản phẩm: máy bị giật khi mở camera, ""chậm"" shutter. Đúng với mô tả: tốc độ chụp không giống quảng cáo. Tính năng nổi bật: chế độ chụp liên tiếp không đáng tin. Review: mất khoảnh khắc do lag, ảnh thường lệch màu, pin hao nhanh, đóng gói sơ sài, ship lâu, chăm sóc khách hàng trả lời chung chung",Negative,Negative,Negative,,,,Negative,,,,Negative,,,
"Tệ không đúng mic thoại kém, người nghe không rõ",,,,,,,,,Negative,,,,,
Điện thoại tệ quá tệ anh em đừng mất tiền ngu như tôi nhé.,,,,,,,,,,,,,Negative,
Mic ghi âm kém.,,,,,,,,,Negative,,,,,
Tính năng nổi bật: mình săn sale nên áp mã vô giá rất tốt. Điện thoại sử dụng ổn nếu không chơi game nặng. Đúng với mô tả: sản phẩm đúng với mô tả. Lúc giao tới còn nguyên seal cho mình bóc luôn. Giao bởi nhân viên của fptshop có gọi điện hỏi giờ tiện để nhận hàng và chăm sóc khách hàng rất nhiệt tình.,,,,,,,,Neutral,,,Positive,,,
Chất lượng sản phẩm: tốt trong tầm giá Đúng với mô tả: đúng với mô tả,,,,,,,,Positive,,,,,,
"Máy khá tốt. Có một điểm trừ là nắp lưng không đẹp, chữ g7 thinq tèm lem.",,,,,Negative,,,,,,,,,
Nhóm màu: xanh ngọc dung lượng lưu trữ: 128gb máy đẹp như mới chắc chắn mượt. Cửa hàng giao sai màu nhưng có phản hồi . Chăm sóc khách hàngách hàng nhanh chóng . Sản phẩm pin hơi thấp nếu chơi game thì nhanh tụt pin chế độ chờ tầm 3 ngày .,Negative,,,,Positive,,,,,,Positive,,,
"Thiết kế máy có kiểu dáng trung bình, không quá dày cũng không quá mỏng.",,,,,Neutral,,,,,,,,,
"Đóng hàng sai quy cách. Hộp đựng mỏng manh. Chăm sóc khách hàng không hỗ trợ bảo hành. Nhận hàng hộp móp méo, máy bị xước nhẹ. Chăm sóc khách hàng bảo lỗi do vận chuyển",,,,,Negative,,Negative,,,Negative,Negative,Negative,,
"Giá cả phải chăng, vận chuyển nhanh chóng, khuyên nên mua",,,,,,,,Positive,,,,Positive,,
Chất lượng sản phẩm: máy bị lỗi sạc chập chờn Đúng với mô tả: cổng sạc tiếp xúc kém Tính năng nổi bật: phải giữ dây sạc ở góc độ nhất định review: sạc không ổn định rất khó chịu,Negative,,,,,,,,,,,,,
"Chất lượng sản phẩm: chất liệu ốp lưng kèm theo quá mỏng. Đúng với mô tả: tặng kèm phụ kiện cao cấp. Tính năng nổi bật: sạc và tai nghe cũng là đồ rẻ tiền. Review: ốp lưng như miếng giấy rơi nhẹ cũng vỡ. Hiệu năng không ổn định bị bóp xung liên tục. Shipping ""chậm"" không báo trc 1 tiếng nào",,,Negative,,,,,,,,,Negative,,
Nhìn thì có vẻ dùng được đấy đến lúc check thì chả làm được gì,,,,,,,,,,,,,Negative,
"Chất lượng sản phẩm: pin phóng nhanh khi sử dụng 4g và chơi game. Đúng với mô tả: thời lượng pin quảng cáo ảo. Tính năng nổi bật: không có tiết kiệm pin hiệu quả. Review: sử dụng nửa ngày đã cần sạc, sạc nhanh không như cam kết, đóng gói sơ sài, ship ""chậm"", chăm sóc khách hàng xử lý chậm",Negative,,,,,,Negative,,,,Negative,Negative,,
Thời lượng pin đáp ứng được nhu cầu sử dụng cơ bản hàng ngày.,Neutral,,,,,,,,,,,,,
"Chất lượng sản phẩm: hiệu năng giảm mạnh khi pin dưới 20%. Đúng với mô tả: không. Tính năng nổi bật: không. Review: máy đang sử dụng bình thường nhưng cứ pin xuống dưới 20% là bắt đầu giật lag kinh khủng, gần như không thể sử dụng",,,Negative,,,,,,,,,,,
Chất lượng sản phẩm: loa ngoài bị rè khi có thông báo nhiều. Đúng với mô tả: âm thanh trong trẻo. Tính năng nổi bật: thông báo nhiều loa bị rè. Review: mỗi lần thông báo là loa rè. Camera selfie không sắc nét. Ship bị tính phí sai,,Negative,,,,,,,Negative,,,Negative,,
Chất lượng sản phẩm: pin hao quá nhanh. Đúng với mô tả: dung lượng pin thấp. Tính năng nổi bật: pin yếu. Pin tụt nhanh khi mở wifi. Máy hay bị treo logo. Chăm sóc khách hàng không có số điện thoại hỗ trợ,Negative,,Negative,,,,,,,,Negative,,,
"Chất lượng đóng gói kém , lần trước mua hàng đóng gói cẩn thận hơn rất nhiều",,,,,,,Negative,,,,,,,
"Sản phẩm tốt, giao hàng nhanh, shipper nhiệt tình, giá rẻ, không nên mua nha, sản phẩm tốt lắm luôn",,,,,,,,Positive,,,,Positive,,
"Chất lượng sản phẩm: hiệu năng yếu, máy lag. Đúng với mô tả: chip yếu hơn quảng cáo. Tính năng nổi bật: pin sụt nhanh. Review: máy đơ khi mở app nặng, pin hết nhanh dù lướt web. Đóng gói lỏng lẻo, ship trễ 4 ngày. Chăm sóc khách hàng không giải quyết",Negative,,Negative,,,,Negative,,,,Negative,Negative,,
Phần mềm trên máy hoạt động ổn định và không có tính năng gì đặc biệt.,,,,,,Neutral,,,,,,,,
"Tệ lừa đảo máy treo liên tục, phải reset nhiều lần,",,,Negative,,,,,,,,,,,
"Chất lượng sản phẩm: vân tay/face unlock phản hồi chậm hoặc không nhận. Đúng với mô tả: bảo mật sinh trắc chưa ổn. Tính năng nổi bật: unlock không mượt. Review: hay phải nhập mã pin, bất tiện, pin & cam tạm, đóng gói không bảo vệ, ship trễ, chăm sóc khách hàng không rõ ràng",Neutral,Neutral,Negative,,,,Negative,,,,Negative,Negative,,
"Mấy lần từng mua thấy tốt hài lòng,nhưng lần này mua về mình check kiểm tra máy thì được có 34gb tháng, mấy lần mua trc thì 108gb gì í cũng tạm được,lần này thất vọng tràn trề,không biết nên mua sau này nữa không:))",,,,,,,,,,,,,Negative,
"Gps lệch to định vị chuẩn nhưng không dẫn đường sai, không tin cậy cho đi xa,",,,,,,,,,,,,,Negative,
"Thời lượng sử dụng pin của máy ở mức trung bình, không hơn không kém.",Neutral,,,,,,,,,,,,,
Tính năng nổi bật: máy dựng Chất lượng sản phẩm: tệ mua 2 con về sử dụng được thời gian tự động tắt nguồn . Hao nguồn liên tục. Trải nghiệm tệ,Negative,,,,,,,,,,,,,
Dung lượng lưu trữ: samsung galaxy m21 nhóm màu: xanh dương rất tệ,,,,,,,,,,,,,Negative,
"Lâu quá quên nhận xét máy sử dụng ổn áp, máy mới tinh đóng gói cẩn thận",,,,,,,Positive,,,,,,,
"Giá thành rẻ, chất lượng như vậy là tốt rồi.",,,,,,,,Positive,,,,,,
Chất lượng sản phẩm: cảm ứng rìa không nhạy. Đúng với mô tả: touch mượt trong demo. Tính năng nổi bật: bỏ sót thao tác mép. Review: vuốt mép không nhận gõ dính ký tự nhắn tin tệ chăm sóc khách hàng bảo reset nhưng không hết,,,,,,,,,,,Negative,,,
"Con này sử dụng cứ tù làm sao á, nhưng mà để phụ huynh sử dụng thì rẻ tạm ổn. Ưu điểm là có cả củ sạc nhanh",Positive,,,,,,,Positive,,,,,,
Điện thoại nó đọc như cái lon coca đọc lại dã man nghe gọi cũng tốt tôi sẽ mua cửa hàng nhiều nữa,,,,,,,,,,,,,Positive,
Pin chai sau 1 tháng sử dụng hiệu năng chậm chạp mở app lâu chăm sóc khách hàng không hỗ trợ đổi trả,Negative,,Negative,,,,,,,,Negative,,,
"Pin kém. Mô tả pin trâu là sai sự thật. Hiệu năng lẹt đẹt. Pin sử dụng không được 5 tiếng. Máy chậm, mở app lâu. Đóng gói mỏng. Ship chậm, không thông báo",Negative,,Negative,,,,Negative,,,,,Negative,,
"Chất lượng sản phẩm: camera mờ, ánh sáng yếu. Đúng với mô tả: quảng cáo sai về ảnh. Tính năng nổi bật: pin kém. Review: camera chụp đêm vô dụng, màu nhạt. Pin tụt nhanh, sạc lâu. Ship trễ, đóng gói ẩu. Chăm sóc khách hàng không hỗ trợ tốt",Negative,Negative,,,,,Negative,,,,Negative,Negative,,
"Nhóm màu: pink dung lượng lưu trữ: 128gb xinh nha, ship trong ngày hôm sau luôn rồi giá thực ra cũng không rẻ hơn mấy mà mình lười đi nên mua ship luôn 😂",,,,,Positive,,,Negative,,,,Positive,,
"Sản phẩm nhận được giống mô tả xong chưa sử dụng nên chưa đánh giá được chất lượng, khi nào sử dụng",,,,,,,,,,,,,Neutral,
"Chất lượng sản phẩm: rất yếu. Đúng với mô tả: không đúng. Tính năng nổi bật: hiệu năng kém. Review: pin rất yếu, sử dụng chưa được nửa ngày đã sạc. Hiệu năng quá tệ, lướt facebook không mượt. Chăm sóc khách hàng vô trách nhiệm.",Negative,,Negative,,,Negative,,,,,Negative,,,
"Chất lượng sản phẩm: camera cho ảnh chụp ổn trong điều kiện ánh sáng trung bình, không có gì nổi bật.",,Neutral,,,,,,,,,,,,
Quảng cáo pin sử dụng 33h liên tục. Mà mới mua về sử dụng ngày sạc 2 ngày. Có ai bị như dẫy không hay do gặp trúng cái máy,Negative,,,,,,,,,,,,,
Màu sắc: bạc phân loại: nguyên seal  máy nguyên seal nha mọi người,,,,,,,,,,,,,Positive,
"S24+ quảng cáo là kháng nước, nhưng điện thoại đã bị ngấm nước và hư hoàn toàn, máy chết main. Không được bảo hành dù cho lúc mình đem đi bảo hành là chưa được 6th. - S25 + mình mua cách đây hơn 1 tuần rồi, mình đã liên hệ rồi nhưng vẫn không được hỗ trợ kích hoạt bảo hành - xin hỏi trách nhiệm của cửa hàng ở đâu?",,,,,,,,,,Negative,,,,
"Pin ảo, hiển thị không chính xác. Pin tụt đột ngột từ 30% xuống 0%. Hiệu năng kém khi mở nhiều ứng dụng. Pin sụt nhanh hơn cả tốc độ mạng. Đóng gói sơ sài, hộp móp méo",Negative,,Negative,,,,Negative,,,,,,,
"Phiên bản: hàn quốc 1 sim 256gb trong tầm tiền thì ngon, giao bản mỹ 128gb 2 sim thay vì bản hàn 256gb 1sim như đã đặt ban đầu, nhưng không sao! màn hơi xước dăm, không bị ám ố, vẫn tặng cửa hàng 5 sao và cảm ơn cửa hàng nhiều",,,,Neutral,,,,Positive,,,,,,
Nhóm màu: màu đen đúng sản phẩm đã đặt,,,,,,,,,,,,,Neutral,
"Chất lượng sản phẩm: pin kém, sạc chậm. Đúng với mô tả: quảng cáo sai về thời lượng pin. Tính năng nổi bật: hiệu năng không ổn định. Review: pin tụt nhanh, sạc mất 3 tiếng. Máy hay đơ khi đa nhiệm. Ship chậm, hộp bị móp. Chăm sóc khách hàng không giải quyết vấn đề",Negative,,Negative,,,,Negative,,,,Negative,Negative,,
Chất lượng sản phẩm: tốt Tính năng nổi bật: đúng Đúng với mô tả: đúng sản phẩm rất ngon với tầm giá này rất hài lòng. Cửa hàng bán hàng rất chất lượng và đúng như những gì mô tả ❤,,,,,,,,Positive,,,,,,
"Chất lượng sản phẩm: đóng gói lỏng lẻo, thiếu đệm. Đúng với mô tả: hộp trông không giống quảng cáo. Tính năng nổi bật: dễ móp khi vận chuyển. Review: nhận hộp móp, ống kính camera bị trầy nhẹ, quy trình đổi trả phức tạp, chăm sóc khách hàng yêu cầu gửi nhiều ảnh",,Negative,,,,,Negative,,,Negative,Negative,,,
"Chất lượng sản phẩm: giá trị bán lại quá thấp, chăm sóc khách hàng không quan tâm. Đúng với mô tả: không. Tính năng nổi bật: không. Review: mua máy giá cao mà chỉ sau một năm bán lại lỗ hơn 70% vì máy có nhiều tiếng xấu. Hỏi chăm sóc khách hàng thì họ cũng mặc kệ",,,,,,,,,,,Negative,,,
Cửa hàng uý tín chất lượng mà sản phẩm tuyệt vời mọi người ủng hộ nhé.,,,,,,,,,,,,,Positive,
