sentence,aspect,true_sentiment,predicted_sentiment,confusion_type
Dùng để làm máy phụ nghe gọi nên tạm ổn. Còn để quay video hay chụp ảnh thì không ăn thua. Chụp lên trông như thằng chết trôi :)),Camera,negative,positive,negative → positive
"Nói chung con này quá ngon so với cái tầm giá của nó rồi, không có chỗ để chê đâu, sạc siêu nhanh gần 1 tiếng từ 1% lên 100% có tự động ngắt kết nối nguồn sạc khi đầy pin, hiệu năng thì khỏi bàn, còn mấy ông thích kiểu chụp ảnh này nọ thì đừng kì vọng cao, camera của nó lên được 1080p:60FPS, cpu Helio G99, RAM24gb, ROM256gb pin 5000mAh",Camera,negative,positive,negative → positive
Camera màu xám shipping giao muộn đóng hàng thiếu sách hướng dẫn,Camera,positive,negative,positive → negative
"Mua cho em trai vì em trai mình thích điện thoại này, cửa hàng không lừa đảo nha mọi người cứ yên tâm mua còn chất lượng máy ra sao mình không biết, chắc máy chỉ để chơi game thôi",General,positive,neutral,positive → neutral
"Sim 5g viettel gắn vào máy chỉ hiện lte, sim gắn lên s23 ultra thì hiện 5g, cùng vị trí nhà. Không hiểu ntn.",General,positive,negative,positive → negative
"Nhóm màu: Vàng 
Dung lượng lưu trữ: 16gb sản phẩm hình thúc được co tang ọp cam on cửa hàng chat lượng. De sau se nhan xet",General,neutral,positive,neutral → positive
Mọi thứ đều tốt nhưng lúc giao cường lực bị nức nhiều nha cửa hàng,General,positive,negative,positive → negative
Bước đầu kiểm tra thấy máy ổn.,General,positive,neutral,positive → neutral
Sop uy tín sản phẩm giống như mo ta chất lượng sản phẩm rất tuyệt vời hàng không có suoc sát gì giống như mới màn hình không am gì mọi người nên ủng hộ hẹn gặp lại lần sau sẽ ủng hộ tiếp cảm ơn nhiều,Display,positive,negative,positive → negative
"Tốc độ ổn với tầm giá 2tr, màn hình ở mức trung bình. Hệ điều hành chưa quá mượt mà. Tổng quan là vẫn hài lòng vì mức giá này không thể yêu cầu quá nhiều",Display,neutral,positive,neutral → positive
Hiệu năng tốt màn oled sạc nhanh,Display,neutral,positive,neutral → positive
Màn hình có tần số quét đúng như giới thiệu. Mình sẽ ủng hộ thêm nếu dùng tốt,Display,neutral,positive,neutral → positive
Màn hình hiển thị màu sắc ở mức chấp nhận được. Giá cả của sản phẩm tương đối là rẻ phù hợp với người lao động.,Display,neutral,positive,neutral → positive
Phiên bản: Ram 4/64gb máy thật bất ngờ màu sắc rất đẹp so với các máy nhẹ máy khác loa thi không có gì đặc biệt hoi thất vọng vì không úp lên aroi 11 đượccòn bền thì một thời gian mới biết giá hơi đắt 😥 chúc cửa hàng làm ăn phát đạt,Price,negative,positive,negative → positive
"Đúng với mô tả: Samsung đóng gói nhanh shipper thì giao hàng chậm,đã kích hoạt bảo hành, máy đã cài đặt 7 ngày trước chứ không phải máy mới. Sử dụng một thời gian sử dụng thử thấy máy mau tuột pin xài một thời gian chắc thay pin. Sử dụng chơi game thì rất là mượt, hiệu năng tốt. Giá 3800 ngàn thì không ngon cho lắm.",Price,negative,positive,negative → positive
Tiền nào của đó thôi máy hơi lag với hỏng cam,Price,negative,positive,negative → positive
"Khuyên mọi người là không nên mua ạ, rẻ thì rẻ thật nhưng sử dụng rất ức chế, sử dụng đơ mà muốn ném ra ngoài đường ngay luôn !",Price,positive,negative,positive → negative
Dịch vụ của cửa hàng trả lời tin nhắn khá nhanh. Giá cả sản phẩm ở mức tạm chấp nhận so với tính năng nhận được.,Price,neutral,positive,neutral → positive
"Nhận hàng nhanh chóng, sản phẩm giống hình và sử dụng tốt nên mình rất hài lòng 😀 điện thoại sử dụng tốt, ngoại trừ pin chỉ còn mức 75% thôi",Shipping,positive,negative,positive → negative
Nhóm màu: Hồng nhân viên giao hàng thân thiện. Apple luôn luôn đỉnh. Nhà bán à hàng quá chậm,Shipping,positive,negative,positive → negative
Đóng gói hàng lâu tuy nhiên giao hàng vẫn trong thời gian dự định.,Shipping,neutral,negative,neutral → negative
"Nhóm màu: Đen 
Dung lượng lưu trữ: 128gb mua điện thoại qua ứng dụng lazada lần đầu nhưng rất hài lòng về chất lượng. Thời gian giao hàng hơi lâu nhưng cũng xứng đáng để chờ. Nên mua nhé mọi người👍",Shipping,positive,negative,positive → negative
"Sản phẩm còn rất mới đúng 99%. Cửa hàng nhiệt tình, gọi điện tư vấn hướng dẫn luôn. Cho anh giao hàng 4 sao thôi tại cái điện thoại 4 triệu mà ảnh đọc 400k nói hồi mới xem kỹ lại. Hên mình là người nhận chứ người nhà nhận trả 400k thật là hiểu luôn.",Shipping,negative,positive,negative → positive
"Máy kích bảo hành ít mới có 10 ngày cực ngon với giá này! Máy mới leng keng 1000%, Mua cho bame dùng là hết ý",Shop_Service,negative,positive,negative → positive
"Máy thỉnh thoảng bị đơ pin dung lượng 5000 mà sử dụng nhanh xuống pin máy mới mua không biết cửa hàng có đổi không mình gửi đánh giá 1 sao vì không giống quảng cáo chờ cửa hàng phản hồi, nếu tốt mình sẽ sửa lại đánh giá xem có đáng để mua không ạ",Shop_Service,neutral,negative,neutral → negative
"Đúng với mô tả: Samsung đóng gói nhanh shipper thì giao hàng chậm,đã kích hoạt bảo hành, máy đã cài đặt 7 ngày trước chứ không phải máy mới. Sử dụng một thời gian sử dụng thử thấy máy mau tuột pin xài một thời gian chắc thay pin. Sử dụng chơi game thì rất là mượt, hiệu năng tốt. Giá 3800 ngàn thì không ngon cho lắm.",Shop_Service,negative,positive,negative → positive
"Chăm sóc khách hàng không trả lời tin nhắn. Hỗ trợ kém. Dịch vụ tệ. Nhắn tin hỏi mà không thấy trả lời, gọi điện thì phải chờ lâu. Hiệu năng thì tạm ổn. Pin không tốt",Shop_Service,negative,positive,negative → positive
"Chất lượng sản phẩm: Tốt 
Đúng với mô tả: Máy đẹp máy ổn,pin thì chắc khoảng 80%, máy nhà mạng docomo, thuần nhật 100%, tuy nhiên cửa hàng tặng kèm cục sạc vô lý quá, đầu sạc và dây sạc chẳng liên quan gì nhau luôn, được cái giao hàng rất nhanh,có video quay lại nhưng hơn 2 phút không cho tải lên, cảm ơn cửa hàng",Shop_Service,negative,positive,negative → positive
"Chất lượng sản phẩm: 5 sao 
Đúng với mô tả: Đúng 
Tính năng nổi bật: Đẹp là 1 lợi thế review luôn cho mọi người. 1. Camera sau chụp ổn ban ngày. Tối thì chưa thử vì không đam mê chụp lắm. 2. Loa: Nghe được. 3. Cảm ứng: Cái này xịn, hơi bất ngờ với giá 4 triệu 4. Chơi game mượt. 5. Pin so với quảng cáo 6000mah có vẻ hơi ảo, tuy nhiên chơi game mượt thì bù lại hao pin cũng có vẻ hợp lý. Nên bật các chế độ tiết kiệm, bedtime buổi tối - nếu không để từ tối tới sáng để không mất 10% thì hơi 3 chấm.",Battery,negative,positive,negative → positive
"Chất lượng sản phẩm: Tốt 
Tính năng nổi bật: Vân tay dưới màn, cam tốt, loa xịn nhận xét chung là hài lòng. Ngoại hình 8đ, chức năng 10đ. Mình mua để đổi gió nên cũng không yêu cầu cao gì, nhưng mà nhìn qua ngoại hình thì biết là máy đã được tân trang lại rồi, cổng sạc khá tả, con điện thoại mình sử dụng 4 năm rồi mà cổng sạc cũng không tả tơi được như con này, cụm cam thì không xước xát gì nhưng viền quanh cam có vài vết sứt mẻ, nói chung là chủ cũ sử dụng hao vcd. Máy nhận về chạy miui 12.5 không được full tiếng việt, mình có up rom lên miui 14 eu thì thấy đỡ hao pin hơn hẳn. À mà củ sạc cửa hàng gửi kèm sử dụng dây typec-typec mà dây sạc cửa hàng gửi lại là typea-typec nên sử dụng không được =)))",Battery,neutral,positive,neutral → positive
"Chăm sóc khách hàng không trả lời tin nhắn. Hỗ trợ kém. Dịch vụ tệ. Nhắn tin hỏi mà không thấy trả lời, gọi điện thì phải chờ lâu. Hiệu năng thì tạm ổn. Pin không tốt",Battery,negative,positive,negative → positive
"Điện thoại nubia neo 02 loại này sử dụng tốt, sạc pin nhanh đây, sử dụng lâu hết pin. Mua điện thoai có củ sạc, đi kèm và ốm lưng, và miếng dán màn hình luôn.",Battery,positive,negative,positive → negative
"Đúng với mô tả: Đúng nhận hàng nửa tháng nay mí quay lại đánh giá nghe gọi ổn định. Pin chờ không đàm thoại được 1 tuần là hết. Mẹ mình lớn tuổi máy hơi nhỏ mẹ nhìn bàn phím không rõ,âm lượng và chuông cũng hơi nhỏ. Nhưng với giá hơn 200k thì máy như này là tốt rồi, giá quá rẻ.",Battery,positive,negative,positive → negative
"Điện thoại xịn,đóng gói cẩn thận,quẩy all game mobile,sạc nhanh,mỗi tội pin 6000 mà không trâu lắm,trải nghiệm mượt mà đủ vỗ chết mấy còn ip13 pro max",Performance,positive,negative,positive → negative
"Đã nhận được hàng, trước mắt thấy đẹp, cam cũng ổn. Còn cấu hình chưa test",Performance,neutral,positive,neutral → positive
"Tính năng nổi bật: Tốt 
Đúng với mô tả: Tốt 
Chất lượng sản phẩm: Tốt
Cứ phải gọi là mướt mườn mượt đến từ nhà táo. Nhưng lúc mình cài đặt có thấy kiểu bị lag cứ quay vòng mãi. Do máy nó vậy hay do loi lỗi ta",Performance,negative,positive,negative → positive
"Phù hợp sử dụng làm máy phụ. Os sạch, ít app rác, đáp ứng tốt nhu cầu cơ bản (zalo, Facebook, youtube, web), màn hình ổn và pin tốt. Máy to hơn kì vọng nhưng ưu tiên pin nên chấp nhận, cầm cũng nhẹ nhàng. Ngoài ra thì cũng không nên kì vọng nhiều, chip hơi yếu, bật cam thôi cũng lag mà chụp hình thì chỉ là cho đủ tính năng.",Performance,negative,positive,negative → positive
"Xinh lắm luôn bé xíu à mà đáng tiền đó, mỗi tội sử dụng lâu tí nó lag và nóng máy luôn, cửa hàng tư vấn rất rất nhiệt tình nhé!",Performance,negative,positive,negative → positive
