data,aspect,sentiment,predicted_sentiment,confusion_type,error_count_for_sentence
"Điện thoại mới. Test máy mượt, camera hơi cùi nhưng chơi game thì tốt",Camera,negative,positive,negative → positive,1
Sau gần 1 tháng sử dụng thì mình có những đánh giá như sau: tuy chỉ sử dụng các tác vụ nhẹ nhưng thỉnh thoảng vẫn lag chậm; chụp ảnh ở mức tạm lấy nét chậm ảnh có màu hơi chói hơn bên ngoài; được cái sạc nhanh 25w; cửa hàng tặng củ sạc và tai nghe; đóng gói kĩ,Camera,neutral,positive,neutral → positive,2
"Nhóm màu: đen tuyền dung lượng: 4gb/64gb nhiều tùy chọn màu sắc phong cách, camera chính 50mp, ram 4gb + bộ nhớ 128gb, cảm biến vân tay,",Camera,positive,neutral,positive → neutral,2
"Chất lượng sản phẩm: tốt 
Đúng với mô tả: dung hàng có hơi xước chút (97% như cửa hàng mô tả). Test còn áp suất, màn hình đẹp, nhẹ hơn hẳn con ip8+ của mình. Máy chạy nhanh, đã test thử game, loa, tai nghe tốt. Được tặng sạc nhanh 20w kèm tai nghe dây, sử dụng 2 ngày mới đánh giá. Tặng thêm ốp thì hợp lý hơn tai nghe.",Design,negative,positive,negative → positive,1
Quay video giật. Quay mượt 4k chỉ là quảng cáo. Chống rung kém vài phút là nóng máy,Design,negative,positive,negative → positive,1
"Ship giao hàng nhanh , đặt hôm nay là ngày sau nhận được . Máy mượt , đã thử tex tầm 2 tiếng , máy không bị nóng , không nóng máy với lướt mượt là tốt . Với giá này mà được con điện thoại ngon lành . Chỉ có điểm trừ là cửa hàng đóng gói sai nhé đặt xanh nhạt mà giao xanh đậm . Với mặt sau hơi trầy . Nhưng máy ngon cũng chấp nhận được . Vừa rẻ vừa ngon nên mua nhé mọi người",Design,negative,positive,negative → positive,3
"Tất cả đều ổn. Nhìn rất kỹ nhưng không có 1 vết xước, có điều là hình như có dấu hiệu mặt lưng bị cậy. Nói chung tầm giá này quá tốt luôn. Rất đáng đồng tiền bỏ ra",Design,negative,positive,negative → positive,1
"Chơi mấy game nhẹ thì ổn, chứ game nặng thì khá lag. Chất liệu máy cảm giác cũng bình thường, không có gì nổi bật.",Design,neutral,negative,neutral → negative,2
"Máy ổn, mọi chức năng đều hoạt động tốt, pin hơi yếu, máy mình sử dụng chỉ để nghe nhạc, không bỏ sim mà pin tụt khá nhanh, mặt lưng có vẻ đã bị thay, vì máy của nhà mạng nhật docomo nhưng mặt sau lại không khắc logo nhà mạng, hỏi cửa hàng thì cửa hàng bảo là chưa thay… thôi tạm chấp nhận. Vì máy chưa unlock bootloader, vẫn còn drm key nên loại trừ khả năng up room khác",Design,neutral,negative,neutral → negative,1
"vừa nhận máy, phụ kiện đầy đủ mặt sau đẹp, giao diện dễ sử dụng chạy mượt, cái hộp hơi ghẻ, tai nghe nhìn cũng giống đồ ghẻ, cầm không sướng nhưng nhẹ so với pin 7k, sử dụng tốt ( cảm quan ban đầu là ngon trong mức giá 3,5 củ đã áp mã giảm giá )",Design,neutral,positive,neutral → positive,1
"Kiểu dáng đẹp nhưng không mượt, bị đứng màn hình hoài,với bị giật màn hình khi sạc, tắt điện thoại rồi mở lại mới hết,nói chung không ổn lắm,pin thì bị chai ,sạc vô rất chậm, có lẽ hơi bị sai lầm,giá này mua mà không có tặng cáp sạc gì hết,pin lại chai,tải gì cũng mạnh nhưng lướt thì bị đơ màn hinh.🤣🤣🤣,cửa hàng nên test kỹ va bảo trì tốt hơn nữa để mang đến chất lương cho khách hàng và uy tín cho mình.",Design,positive,negative,positive → negative,1
"Phiên bản: hàn 1 sim 256gb tính năng:đầy đủ vân tay, face chất lượng:99%, chức năng rất tốt, màn hình có vài vết xước nhỏ, mình đang sử dụng xem pin thế nào sẽ đánh giá sau chất liệu:hoàn thiện tốt. Điểm trừ: đặt màu xám bản hàn 1 sim 256gb mà cửa hàng giao bản mỹ 2 sim 128gb màu đen. Không tặng kèm ốp lưng dẻo và dán màn hình. Lex Việt Nam giao hàng chậm hơn gh nhanh 1 ngày. Cập nhật sau 5 ngày sử dụng: check pin còn 88-89% cỡ 4250-4300 ma. Với giá như vậy thì chấp nhận được.",Design,positive,negative,positive → negative,2
"Nhóm màu: đen tuyền dung lượng: 4gb/64gb nhiều tùy chọn màu sắc phong cách, camera chính 50mp, ram 4gb + bộ nhớ 128gb, cảm biến vân tay,",Design,positive,neutral,positive → neutral,2
Ngoại hình: nút kính được cửa hàng ạ em mở lên nó đúng như cửa hàng nói ạ màn hình xấu cũng đâu có sao đồ rẻ tiền mà phải vậy thôi với lại điện thoại lâu đời nữa nên em đánh giá cửa hàng 5 sao,Display,negative,positive,negative → positive,1
"máy cơ bản nhìn tốt, màn coi được không sắc xảo lắm nhưng có 5g khá mạnh.",Display,negative,positive,negative → positive,1
Chất lượng phù hợp với giá tiền. Loa bé. Mở full âm hơi rè. Màn 120hz nhưng vẫn không mượt. Nói chung là mình không sử dụng. 5* Vì hình thức đẹp cửa hàng vui vẻ 😂,Display,neutral,negative,neutral → negative,1
"Nhóm màu: nhiều màu 
Dung lượng lưu trữ: 128gb sau 5 ngày nhận hàng, đã test màn hình đẹp máy gắn sim vô là sử dụng, vì máy cũ pin hơi hẻo tí không sao, tặng tai nghe 3.5 sử dụng không được, thay vào đó cửa hàng có thể tặng ốp và dán dẻo cho màn hình luôn thì tốt",Display,positive,negative,positive → negative,2
màn có ám nhẹ góc trên bên phải nhưng không ảnh hưởng nhiều lắm. máy sử dụng hơi nóng nhưng vẫn ổn trong tầm giá. màn cong nhìn rất sexy. tốt,Display,positive,negative,positive → negative,1
"máy ổn ở mức giá 2.x. có màn oled full hd. chất lượng hiển thị tốt. máy được cửa hàng việt hóa sẵn tiếng việt được tầm 85-90%. pin 4000 hơi ít nhưng mình mua lm máy phụ nên tốt. màn chỉ là 60hz, 1 loa mono. không biết máy mọi người mua có bị như của mình không lúc xem yt xem ở tốc độ bt thì tốt, bật tốc độ 1.25 trở lên là hình đi trước tiếng xem hơi khó chịu. máy thị trường jp nên phụ kiện kèm hộp chỉ có ốp lưng, chọc sim. cửa hàng có tặng kèm 1 bộ sạc quảng cáo nhưng mình không sử dụng. tóm lại ở mức giá 2.x thì cũng ổn",Display,positive,negative,positive → negative,3
"Chất lượng sản phẩm: được 
Đúng với mô tả: không đúng mau không đúng mẫu , mua điện thoại vivo kia thanh điện thoại khác ,rất thất vọng luôn cửa hàng ơi",General,negative,positive,negative → positive,1
"Máy lần trước thì sử dụng tốt còn mua lần này máy lại có phim sex .chứng tỏ đã có ai đó sử dụng trước khi giao đến tay tôi ,",General,negative,positive,negative → positive,1
"Phiên bản: ram 6/128gb hàng đẹp, đóng gói kỹ, giao hàng nhanh, cửa hàng tư vấn nhiệt tình. Nói chung máy cấu hình tốt, chạy mượt, hỉnh ảnh rất đẹp, hàng mới full box, tuy nhiên cập nhật lên android 11 chưa được, hiện chỉ chạy android 10, độ bền thì thời gian sẽ trả lời, nói chung là quá hài lòng.",General,negative,positive,negative → positive,1
Phân loại 2: fullbox phân loại 1: j7pro tôi nhắn mua j7 pro mà cửa hàng gửi prime,General,neutral,negative,neutral → negative,1
Tìm hoài không biết cái nào làm ốp lưng cho nó luôn buồn sao trên thị trường không bán ta,General,neutral,negative,neutral → negative,1
lỗi sạc,General,neutral,negative,neutral → negative,1
"Chất lượng sản phẩm: còn phải sử dụng để đánh giá thêm 
Đúng với mô tả: đặt màu xanh nhưng cửa hàng hết hàng nguyên seal, còn mỗi màu đen nguyên seal nên đành phải đổi sang màu đen",General,neutral,positive,neutral → positive,1
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb hàng chính hãng",General,neutral,positive,neutral → positive,1
"Phiên bản: hàn quốc 1 sim 
Dung lượng lưu trữ: 256gb chưa sử dụng nên chưa biết mọi thứ hiện tại ổn, check imei đúng. Được tặng kèm tai nghe.",General,neutral,positive,neutral → positive,1
"máy ổn ở mức giá 2.x. có màn oled full hd. chất lượng hiển thị tốt. máy được cửa hàng việt hóa sẵn tiếng việt được tầm 85-90%. pin 4000 hơi ít nhưng mình mua lm máy phụ nên tốt. màn chỉ là 60hz, 1 loa mono. không biết máy mọi người mua có bị như của mình không lúc xem yt xem ở tốc độ bt thì tốt, bật tốc độ 1.25 trở lên là hình đi trước tiếng xem hơi khó chịu. máy thị trường jp nên phụ kiện kèm hộp chỉ có ốp lưng, chọc sim. cửa hàng có tặng kèm 1 bộ sạc quảng cáo nhưng mình không sử dụng. tóm lại ở mức giá 2.x thì cũng ổn",General,neutral,positive,neutral → positive,3
"Đúng với mô tả: chuẩn 
Chất lượng sản phẩm: để sử dụng rồi quay lại đánh giá sao nghen :)))",General,neutral,positive,neutral → positive,1
"Dung lượng lưu trữ: 128gb 
Nhóm màu: hồng thanh đào 
Phân loại sản phẩm: 8gb chốt đơn, 10 điểm không nói nhiều",General,positive,neutral,positive → neutral,1
"Chất lượng sản phẩm: tốt 
Đúng với mô tả: đúng 
Tính năng nổi bật: b đóng gói hơi sơ sài, xốp chống xóc chỉ quấn ngang chứ không cố định bằng băng dính. đây là hàng tương đối có giá trị, cửa hàng nên gói kỹ hơn",Packaging,negative,positive,negative → positive,1
"Giao hàng khá nhanh. Vỏ hộp móp méo quá mức, bên trong bọc chống sốc sơ sài. Hàng mới kích hoạt, hạn bảo hành còn đến 31/3/26. Máy không vấn đề.",Packaging,negative,positive,negative → positive,2
"Ship giao hàng nhanh , đặt hôm nay là ngày sau nhận được . Máy mượt , đã thử tex tầm 2 tiếng , máy không bị nóng , không nóng máy với lướt mượt là tốt . Với giá này mà được con điện thoại ngon lành . Chỉ có điểm trừ là cửa hàng đóng gói sai nhé đặt xanh nhạt mà giao xanh đậm . Với mặt sau hơi trầy . Nhưng máy ngon cũng chấp nhận được . Vừa rẻ vừa ngon nên mua nhé mọi người",Packaging,negative,positive,negative → positive,3
"Điện thoại sử dụng ổn, được tặng kèm quà xinh. Săn được giá sale cũng hời ạ. Điểm trừ là đóng hàng giao tới, cái hộp hơi nát ạ",Packaging,negative,positive,negative → positive,1
đóng gói chắc chắn. mà mỗi tội giao lâu. chả hiểu kiểu gì đặt từ ngày 8 mãi tới 12 mới giao. muôn sắp huỷ đơn tới nơi. nhắn cửa hàng thì hời hợt. chán,Packaging,positive,negative,positive → negative,1
"Một số ud chạy khá nhanh,chưi game thì mua,mượt phết,cũng hay bị lỗi, đơ máy phải tắt nguồn chạy lại,",Performance,negative,positive,negative → positive,1
Sau gần 1 tháng sử dụng thì mình có những đánh giá như sau: tuy chỉ sử dụng các tác vụ nhẹ nhưng thỉnh thoảng vẫn lag chậm; chụp ảnh ở mức tạm lấy nét chậm ảnh có màu hơi chói hơn bên ngoài; được cái sạc nhanh 25w; cửa hàng tặng củ sạc và tai nghe; đóng gói kĩ,Performance,negative,positive,negative → positive,2
"Đúng với mô tả: đúng 
Tính năng nổi bật: chơi gem tốt 
Chất lượng sản phẩm: tốt? chưa sài nên chưa biết nnao nhma mua về để gem chứ cái máy nhà nó lag quá",Performance,negative,positive,negative → positive,1
"Chơi mấy game nhẹ thì ổn, chứ game nặng thì khá lag. Chất liệu máy cảm giác cũng bình thường, không có gì nổi bật.",Performance,neutral,negative,neutral → negative,2
"Hiệu năng chỉ ở mức trung bình, không đáng tiền. Ảnh chụp bị out nét liên tục. Chăm sóc khách hàng hứa hẹn gọi lại nhưng không bao giờ gọi.",Performance,neutral,negative,neutral → negative,1
Shipping không giao đúng lịch hẹn. Trễ hẹn. Vận chuyển kém. Đã hẹn ngày x giao mà tận ngày x+2 mới nhận được. Hiệu năng ổn,Performance,neutral,negative,neutral → negative,1
"Hình thức còn mới,cảm ứng tạm ổn,nói chung rất hài lòng với cửa hàng",Performance,neutral,positive,neutral → positive,1
"Tính năng nổi bật: hiệu năng mạnh 
Đúng với mô tả: đúng 95% lúc mới đặt hàng bật lên test thử thì thấy rất ưng, sản phẩm đẹp mắt cả trong lẫn ngoài nhưng lâu lâu vẫn có trường hợp lag lag. máy nhiều quảng cáo cần mình phải tự tắt bớt đi. nhận hàng lúc trưa 13h mở lần đầu, test sản phẩm pin ~ 50% sau đó tắt máy để ở nhà đi làm tới 12h đêm thì máy cạn pin không mở lên được phải sạc. không biết đây là trường hợp bình thường hay pin lỗi tụt nhanh trong vòng 9 tiếng không đụng chạm tới, mong cửa hàng hỗ trợ em.",Performance,positive,negative,positive → negative,1
"Chất lượng sản phẩm: tệ
Đúng với mô tả: không đúng 
Tính năng nổi bật: bộ nhớ đúng là 128g/6g thôi thôi chấp nhận tiền nào của nấy",Price,negative,neutral,negative → neutral,1
"Mua với giá gần 4tr, hơi lag, số tiền này kiếm mua ip cũ sử dụng thì vẫn tốt hơn nhe có xuất hoá đơn đầy đủ, chăm sóc khách hàng cũng được",Price,negative,positive,negative → positive,2
"Chất lượng sản phẩm: cực kì tệ mình biết với giá này minh sẽ không mua được máy tốt, nhưng ít ra cũng phải sử dụng được hãy bán cho khách hàng.mua về call zalo thì chập dật không call được, tok tok thì bị đơ. Còn trong 15 ngày bảo hành mình hoàn đơn thì không chấp nhận vì lí do cảm nhận mõi người khác nhau.vậy 15 ngày đổi trả có ý nghĩa gì khi đăng kèm sản phẩm bán? thôi như trả tiền ngu vậy",Price,neutral,negative,neutral → negative,1
"máy sử dụng tương đối lag, kiểu không mượt, sử dụng không cảm giác đây là máy mới mua. mình sử dụng được cỡ 30 ngày mới đánh giá, và thấy khá chậm. với giá này chắc cũng không đòi hỏi gì hơn",Price,neutral,negative,neutral → negative,1
"Mình sử dụng mới được 2 ngày,hinh thức tạm ổn lướt fookbok,youtobe mượt gọi điện thì thoảng nháy.vân tay không hỏng nhìn chung được trong tầm giá thôi.",Price,neutral,positive,neutral → positive,1
Ram thực chỉ có 4gb rom 128gb không giống như mô tả máy dựng chân sạc có bị rỉ nhiều bụi màn hình bị ngã màu không được sáng - yêu cầu cửa hàng mô tả đúng cấu hình. => Tổng hợp giá hơn 1tr3 anh em mua về làm máy phụ cũng ổn,Price,neutral,positive,neutral → positive,2
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: so với giá tạm ổn giao hàng hơi lâu, máy lướt hơi chậm không nhạy lắm",Price,neutral,positive,neutral → positive,1
"Ngoại trừ thao tác vuốt bị khựng, lag ra thì mọi thứ đều ổn trong tầm giá",Price,positive,negative,positive → negative,1
Tầm 2 triệu mà được đập hộp là ngon nhất chứ đừng mua mấynlọi xách tay (máy dựng) màn lô sử dụng được vài tháng lại hỏng,Price,positive,negative,positive → negative,1
"khuyên mọi người là không nên mua ạ , rẻ thì rẻ thật nhưng sử dụng rất ức chế , sử dụng đơ mà muốn ném ra ngoài đường ngay luôn !",Price,positive,negative,positive → negative,1
sản phẩm: sản phẩm chất lượng kém ai mua thì nên tìm hiểu kỹ. mình mua dk mấy tuần hỏng rồi. sử dụng dk hơn tháng màn hình đơ nhảy lung tung loạn hết cả. biết là hàng rẻ không sử dụng dk lâu. nhưng cái điện thoại mua 1tr sử dụng không dk 2 tháng 🤣🤣,Price,positive,negative,positive → negative,1
"hàng kích rom dòng này chỉ có 64gb thôi mà kích lên hẳn 256gb, khi sạc thì bị giật nhẹ ở chỗ vân tay, màn giống màn lô nhưng với giá 1tr3 thì cũng rẻ hơn những chỗ khác.",Price,positive,neutral,positive → neutral,1
"Khả năng lưu trữ: 128gb 
Nhóm màu: đen rất tuyệt, cửa hàng chăm sóc khách hàng tốt, ngay sau khi đặt cửa hàng gọi ngay và tb tình trạng hàng. Hàng đóng gói kỹ. Vì hàng giao chậm hơn dự kiến nên còn được cửa hàng giảm giá theo giá mới niêm yết. Mọi xử lý đều nhanh, cảm ơn vì đã giữ lời giảm giá. Hy vọng cửa hàng luôn giữ chữ tín như đã làm với tôi.",Shipping,neutral,negative,neutral → negative,1
"Chất lượng sản phẩm: đáng để trải nghiệm 
Tính năng nổi bật: dynamic island iphone 15 nhỏ gọn cầm vừa tay pin ở mức ok sử dụng ổn , canh khung giờ sale giá rẻ. Máy ở hn nên cỡ 3-4 ngày mới nhận được",Shipping,neutral,positive,neutral → positive,1
"Giao hàng khá nhanh. Vỏ hộp móp méo quá mức, bên trong bọc chống sốc sơ sài. Hàng mới kích hoạt, hạn bảo hành còn đến 31/3/26. Máy không vấn đề.",Shipping,positive,negative,positive → negative,2
"Hàng tốt, giao 5 ngày + 2 ngày kho nghỉ là 1 tuần mới có máy nhưng máy chuẩn Việt Nam, shipper giao cũng kêu mang cccd và chụp ảnh lại được nha",Shipping,positive,negative,positive → negative,1
"Mua online, cũng sợ. Nhưng ổn. Trước khi ship hàng thì hãng đã kích hoạt bảo hành",Shipping,positive,negative,positive → negative,1
"Nhóm màu: đen 
Dung lượng lưu trữ: 128gb mua điện thoại qua ứng dụng lazada lần đầu nhưng rất hài lòng về chất lượng. Thời gian giao hàng hơi lâu nhưng cũng xứng đáng để chờ. Nên mua nhé mọi người👍",Shipping,positive,negative,positive → negative,1
"Ship giao hàng nhanh , đặt hôm nay là ngày sau nhận được . Máy mượt , đã thử tex tầm 2 tiếng , máy không bị nóng , không nóng máy với lướt mượt là tốt . Với giá này mà được con điện thoại ngon lành . Chỉ có điểm trừ là cửa hàng đóng gói sai nhé đặt xanh nhạt mà giao xanh đậm . Với mặt sau hơi trầy . Nhưng máy ngon cũng chấp nhận được . Vừa rẻ vừa ngon nên mua nhé mọi người",Shipping,positive,negative,positive → negative,3
từ hôm mua về đã bị rồi. nghĩ là do nó không nhạy nên không để ý nhiều. xong càng ngày càng bị nặng hơn. phải ấn 5 lần mới được 1 lần. như này có được bảo hành không cửa hàng?,Shipping,positive,negative,positive → negative,1
"sản phẩm rẻ tiền! các bạn không nên mua. cửa hàng trả lời nhiệt tình, tuy nhiên không test hàng trước khi giao cho khách, bạn nào có thời gian đổi trả tới lui thì cứ mua.",Shop_Service,negative,neutral,negative → neutral,1
"Màu sắc: đen 
Phân loại: nguyên seal không sạc điện thoại đẹp máy mới, màn hình tuyệt vời với tần số làm mới 90hz., chống nước là một điểm cộng., nói chung rất hài lòng, với tầm giá nầy quá là tốt rồi, nếu sài bền nửa, là con điện thoại nầy là vô đối trong tầm giá. chỉ có đều không thấy cửa hàng để phiếu bảo hành theo máy.",Shop_Service,negative,positive,negative → positive,1
"Tính năng nổi bật: cảm ứng 
Chất lượng sản phẩm: tốt 
Đúng với mô tả: đúng sản phẩm tốt, tuy nhiên đã bị kích hoạt bảo hành",Shop_Service,negative,positive,negative → positive,1
"sản phẩm tốt chính hãng Việt Nam kích hoạt bảo hành khi mới mua máy imei khớp với máy màu chuẩn , đóng gói tốt chống sốc cẩn thận giao khá nhanh , tiếc cái là cửa hàng không tặng kèm củ sạc. mình sử dụng samsung quen rồi nên h lên đời s25 . điểm trừ mỗi cái cửa hàng lười giao tiếp quá.",Shop_Service,negative,positive,negative → positive,1
Mua về nhưng không lên nguồn được ạ. Mong cửa hàng phản hồi,Shop_Service,neutral,negative,neutral → negative,1
"Mua với giá gần 4tr, hơi lag, số tiền này kiếm mua ip cũ sử dụng thì vẫn tốt hơn nhe có xuất hoá đơn đầy đủ, chăm sóc khách hàng cũng được",Shop_Service,neutral,negative,neutral → negative,2
"Máy thỉnh thoảng bị đơ pin dung lượng 5000 mà sử dụng nhanh xuống pin máy mới mua không biết cửa hàng có đổi không mình gửi đánh giá 1 sao vì không giống quảng cáo chờ cửa hàng phản hồi, nếu tốt mình sẽ sửa lại đánh giá xem có đáng để mua không ạ",Shop_Service,neutral,negative,neutral → negative,1
Ram thực chỉ có 4gb rom 128gb không giống như mô tả máy dựng chân sạc có bị rỉ nhiều bụi màn hình bị ngã màu không được sáng - yêu cầu cửa hàng mô tả đúng cấu hình. => Tổng hợp giá hơn 1tr3 anh em mua về làm máy phụ cũng ổn,Shop_Service,neutral,negative,neutral → negative,2
"điện thoại thì mua đâu cũng vậy, bảo hành như nhau. nhưng mà đóng gói thì xơ sài ẩu tả không chấp nhận được thua quy cách đóng gói khô gà . chán",Shop_Service,neutral,negative,neutral → negative,1
Thời gian sạc máy nhanh trong tầm một giờ. Dịch vụ chăm sóc khách hàng phản hồi email trong vòng 24 giờ.,Shop_Service,neutral,positive,neutral → positive,1
"Nên cân nhắc kỹ , (hỏng loa trong loa bị rè, được cái cửa hàng nói chuyện đàng hoàng )",Shop_Service,positive,negative,positive → negative,1
"Màu sắc: màu vàng gold 
Phiên bản: fullbox giờ nói gì ngoài 2 từ là không biết gì hết . Chỉ nhờ vào nhân viên tư vẩn của cửa hàng . Tư vân lưu lót nên mình tin cậy mà nhận máy thôi .",Shop_Service,positive,neutral,positive → neutral,1
