data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
"Đúng với mô_tả : yes sử_dụng 3 ngày mới đánh_giá máy đẹp không xước , màn_hình đẹp , pin tốt máy sử_dụng mượt không lỗi , còn áp_suất cửa_hàng uy_tín , chúc cửa_hàng buôn may bán đắt",Positive,,Positive,Positive,Positive,,,,,,
Đang trong quá_trình sử_dụng,,,,,,,,,,Neutral,
Máy dựng . Gửi máy bị lỗi sim vitell .,,,,,,,,,,Negative,
Máy thì cứ nhảy lung_tung “ pin thì không cầm nổi 2 tiếng luôn “ xem phim thì được tầm 20p tắt nguồn “ thất_vọng ,Negative,,,,,,,,,Negative,
"Shipping quá chậm . Giao trễ hơn 5 ngày . Không có , vận_chuyển rất lâu . Đợi hàng muốn rụng_rời , cửa_hàng không có thông_báo gì cả , chăm_sóc khách_hàng chỉ_bảo đang cố_gắng . Đóng hàng hộp móp méo",,,,,,Negative,,Negative,Negative,,
"Color family : random color sản_phẩm : màu đen cáp sạc cửa_hàng rất uy_tín , điện_thoại rất là xịn xò , thử qua mọi chức_năng đều tốt , chụp hình rất đẹp , ... mình rất thích , tặng cửa_hàng 5 sao.có dịp sẽ ghé ủng_hộ .",,Positive,,,,,,Positive,,,
"Đã nhận được điện_thoại , cửa_hàng giao nhanh , giá rẻ , màu_sắc đẹp . Đang cập_nhật phần_mềm . Hy_vọng sử_dụng tốt . Ủng_hộ cửa_hàng",,,,,Positive,,Positive,,Positive,,
"Điện_thoại như cc chưa xài được gì thì hư mẹ nguồn , cửa_hàng làm như như cái dái . 1 sao .",,,,,,,,,,Negative,
sim 2 không nhận sóng . hỗ_trợ 2 sim chỉ trên giấy . e-sim không_kích hoạt được phải mang máy đi bảo_hành,,,,,,,,,,Negative,
"Hộp sản_phẩm được bọc một lớp chống sốc , đơn_vị vận_chuyển cập_nhật trạng_thái đơn hàng đều_đặn .",,,,,,Neutral,,,Neutral,,
Phân_loại sản_phẩm : xanh 2 sim 8/12 8gb Dung_lượng lưu_trữ : 128gb cửa_hàng rất chuẩn giao hàng chất_lượng rất tốt,,,,,,,,,Positive,Positive,
Nhóm màu : xám Dung_lượng lưu_trữ : 256gb đã mua nhiều hàng của cửa_hàng . Rất tốt . Đúng quảng_cáo và chất_lượng . Hình_ảnh lấy xu . Sau nửa tháng sử_dụng thấy mọi chức_năng ổn chỉ có pin là đo được 4170mah . Sạc sop gửi bị hỏng chưa gửi bù . Vì_thế để 3s gửi lại sẽ đg lại . Sạc gửi bù mất 35k cod nhưng sạc 2 lần lại hỏng . Nản ghê,Negative,,,,,,,Negative,,,
"Nhóm màu : đen đã nhận hàng giao hàng thiệt nhanh , mua hàng siêu dể dàng , tiện lắm .",,,,,,,,,Positive,,
Mặt lưng nhựa nhìn rẻ_tiền cầm lên không sang tí nào,,,,,Negative,,,,,,
"sản_phẩm mới sử_dụng oke lắm , mua cho mẹ nên không cần cấu_hình cao , đủ các chức_năng cơ_bản",,,,,,,,,,Positive,
"Ngoại_hình đẹp , gần như như mới ( 98% ) . Có chút vết xước nhẹ . Màn_hình 4k hdr sắc nét , tỷ_lệ điện_ảnh . Camera chuyên_nghiệp , thích_hợp người thích điều_khiển thủ_công . Hỗ_trợ sạc không dây , jack 3.5 , microsd mở_rộng và khả_năng kháng nước ip 68 . Loa kép mặt trước âm_thanh tốt cho giải_trí .",,Positive,,Positive,Positive,,,,,Positive,
Một thời_gian sẽ đánh_giá sau về hiệu_năng và chất_lượng hiển_thị khi chơi game .,,,Neutral,,,,,,,,
hàng đểu hàng sida.sạc thì không dô pin.hư loa.không xem được cái gì.không tải được ch play.lừa đảo 1 ☆,Negative,,,,,,,,,Negative,
đóng hàng móp cửa_hàng vui_lòng cẩn_thận hơn ở khâu đóng hàng trước khi giao,,,,,,Negative,,,,,
Đúng với mô_tả : không bt Chất_lượng sản_phẩm : không bt Tính_năng nổi_bật : kobt hình_ảnh mang tính_chất nhận xu thuiiiiii hehe,,,,,,,,,,Neutral,
Chưa kiểm_tra hiệu_năng chơi game nên chưa có đánh_giá,,,Neutral,,,,,,,,
Thời_gian giao hàng dự_kiến 3-5 ngày,,,,,,,,,Neutral,,
"Đóng_gói theo tiêu_chuẩn của hãng , giá sản_phẩm được niêm_yết công_khai .",,,,,,Neutral,Neutral,,,,
Nhóm màu : đen Dung_lượng lưu_trữ : 16gb máy bị liệt chã muốn dùng,,,,,,,,,,Negative,
Chất_lượng sản_phẩm : pin hoạt_động ở mức tiêu_chuẩn cho nhu_cầu cơ_bản .,Neutral,,,,,,,,,,
"Dung_lượng lưu_trữ : galaxy a71 8 g / 128 gb Nhóm màu : xanh hết màu xanh thì cập_nhật lên lazada , để còn màu xanh , đến khi đặt thì nói hết xanh giao màu đen",,,,,,Negative,,,,,
"Đóng_gói không có phụ_kiện . Thiếu củ sạc . Thiếu đồ . Trong hộp chỉ có dây_cáp , không có củ sạc đi kèm . Chăm_sóc khách_hàng bảo phải mua riêng . Pin sử_dụng được",Positive,,,,,Negative,,,,,
Máy bị sước nhẹ 2 vết trên màn_hình khó phá hiện . Hàng cũ thì chấp_nhận . Ảnh video quay bằng điện_thoại gg 5 quá đỉnh với giá 4tr kiếm xu . Vì lười chụp,,,,,Neutral,,Positive,,,,
"Chất_lượng sản_phẩm : ổn nhận_xét sau 2 tuần sửa dụng máy , cấu_hình mạnh , máy mượt , cam đẹp trong tầm giá . , máy đã thay vỏ nhưng mình vẫn chấp_nhận được vì máy đã ra_mắt khá lâu rồi h mà đào ra máy nguyên zin trong tầm giá rẻ như này thì không_thể , đáng lẻ mình sẽ đánh_giá 5 sao nhưng hàng dựng lại rất sơ_sài nắp lưng không thấy 1 tý keo nào bị bung ra hết khá là buồn mong cửa_hàng nên kiểm_tra cẩn_thận và kĩ_càng hơn khi giao hàng tới tay người sử_dụng",,Positive,Positive,,Negative,,,,,Positive,
"Tính_năng nổi_bật : không Đúng với mô_tả : không Chất_lượng sản_phẩm : kém mình đã mua và khuyên mọi người đừng mua , vì điện_thoại nó đơ lắm , lúc đấu mình tính mua là để săn xu trên đây , nhưng vuốt còn không được thì săn gì mọi người",,,Negative,,,,,,,,
"Chất_lượng sản_phẩm : máy đẹp giao hàng nhanh , máy sử_dụng ổn mua cho ba_mẹ sài thì tốt sử_dụng thời_gian xem sao",,,,,Positive,,,,Positive,,
Chất_lượng sản_phẩm : nhận được hàng rồi xài thời_gian xem sao,,,,,,,,,,Neutral,
"lag lắm , 500k thôi là hợp_lí , gần 800 thì hơi đắt",,,Negative,,,,Negative,,,,
"Chất_lượng sản_phẩm : thất_vọng Đúng với mô_tả : lừa_dối trắng_trợn Tính_năng nổi_bật : lag giật liên_tục camera selfie mờ nhoè , máy nóng ran tay sau 10 phút sử_dụng",,Negative,Negative,,,,,,,,
"sử_dụng tạm thôi , máy chạy chậm như rùa , pin 5000 nhưng chắc là làm nhầm 500 , sử_dụng bình thuờng buổi sáng thì hết pin",Negative,,Negative,,,,,,,,
Đúng với mô_tả : lag nha pin thì nhanh hết không nên mua sản_phẩm : sản_phẩm chất_lượng kém,Negative,,Negative,,,,,,,,
"Nhóm màu : xanh ship giao hàng_không cẩn_thận mà lỡ bóc rồi mà không quay nên đành nhận , chán ghê cơ , trải_nghiệm không vui",,,,,,,,,Negative,,
máy thao_tác chậm lắm ạ,,,Negative,,,,,,,,
"Nhóm màu : blue giao hàng nhanh , bọc cẩn_thận",,,,,,Positive,,,Positive,,
Dán màn nguu vc,,,,,,,,,,Negative,
hiệu_năng yếu không chạy game mượt . camera màu_sắc lệch không tự_nhiên . chăm_sóc khách_hàng từ_chối hoàn tiền lý_do mơ_hồ .,,Negative,Negative,,,,,Negative,,,
"Trời_ơi , cái điện_thoại này mắc thấy sợ , dùng cũng bình_thường mà bán giá trên trời , quá_đáng .",,,,,,,Negative,,,,
"Nhóm màu : đen Dung_lượng lưu_trữ : 6 gb +128 gb giao hàng nhanh_chóng và an_toàn , thời_lượng pin lâu_dài , camera chất_lượng cao cho những bức ảnh tuyệt đẹp , camera chất_lượng cao cho những bức ảnh tuyệt đẹp , giao hàng nhanh_chóng và an_toàn , giao hàng nhanh_chóng và an_toàn , camera chất_lượng cao cho những bức ảnh tuyệt đẹp ,",Positive,Positive,,,,,,,Positive,,
Đúng với mô_tả : màn thay hay loạn cảm_ứng Chất_lượng sản_phẩm : kém sản_phẩm : sản_phẩm chất_lượng kém,,,,,,,,,,Negative,
Phân_loại sản_phẩm : vỏ zin cũ tốt nha cửa_hàng ủng_hộ tiếp cảm_ơn you,,,,,Positive,,,,,,
"Kém sai bét wifi yếu không bắt được tín_hiệu mạnh , đóng hàng rách_rưới móp méo một bên , chăm_sóc khách_hàng thờ_ơ không hỗ_trợ đổi",,,,,,Negative,,Negative,,,
"Cửa_hàng giao hàng nhanh , máy sử_dụng khá mượt . Mình mua tặng cho mẹ , chỉ sử_dụng các tác_vụ nhẹ cơ_bản thôi nên oke nha",,,Positive,,,,,,Positive,,
"Dễ trục_trặc phần_mềm che_đậy sự_thật camera kém . Góc rộng bị méo , chụp người trông như bị biến_dạng vậy .",,Negative,,,,,,,,Negative,
"Color : đen-2 xl chất_liệu chất_lượng cao ,",,,,,,,,,,,Neutral
"Phí tiền . Nhắn_tin thì cửa_hàng cài tìn nhắn tự_động , không trao_đổi giải_quyết . Các bạn không nên mua",,,,,,,,Negative,,,
"máy nguyên , mới cài thấy máy không được nhạy lắm . ổn so với tầm giá",,,Neutral,,,,Positive,,,,
"Phiếu bảo_hành có ghi rõ thời_hạn 12 tháng , chưa có dịp sử_dụng .",,,,,,,,Neutral,,,
Em hàng chính hãng không biết phải làm_sao mà em không biết phải nói_chuyện với em ghê vậy thôi em eywywyw,,,,,,,,,,Neutral,
Hàng qúa chất_lượng luôn mình không lấy sạc đúng lúc giảm_giá có 1378k được chiếc điện_thoại xịn sò.đã sử_dụng được nửa tháng máy mượt chơi game không bị giật máy.pin ổn_định mình đã lấy thêm cái nữa ... Mọi người cứ yên_tâm,Positive,,,,,,Positive,,,,
"ốp tặng kèm không khớp với máy lắm , sử_dụng thấy bình_thường",,,,,,,,,,Neutral,
"Chất_lượng sản_phẩm : tạm Đúng với mô_tả : máy đã active máy nguyên seal nhưng đã active từ tước , bật máy vào thẳng bên trong chứ không phải active , vỏ hộp không có tem nhập khẩu không biết có được bảo hành chính hãng không nữa",,,,,,,,Negative,,,
cửa_hàng uy_tín máy ok new seal mọi người nên mua,,,,,,Positive,,,,,
Chất_lượng sản_phẩm : camera không nhận_dạng cảnh . Đúng với mô_tả : lỗi phần_mềm camera . Tính_năng nổi_bật : chụp ảnh tự_động kém . ảnh chụp đêm mờ và nhiễu . hiệu_năng giật lag khi dùng . ship bị tính phí cao vô_lí,,Negative,Negative,,,,,,Negative,,
săn được giá tốt còn bền thì phải chờ sử_dụng lâu_dài mới biết,,,,,,,Positive,,,,
"đóng_gói cẩu_thả đúng sản_phẩm không có . thất_vọng từ lúc nhận hàng . hộp máy chỉ quấn đúng 1 lớp nilon mỏng , móp méo hết cả góc , seal thì có dấu_hiệu bị rạch ra dán lại . cảm_giác như nhận hàng cũ chứ không phải hàng mới . cửa_hàng nên xem_lại khâu đóng_gói .",,,,,,Negative,,,,,
"Màu_sắc : màu đen Phân_loại : likenew 99% đang sử_dụng con s21 của hàn nhưng chip exynos nóng quá . đổi qua s 21+ của cửa_hàng sử_dụng snapdragon thấy mát hẳn và không lag nữa . chất_lượng tốt , oke",,,,,,,,,,Positive,
"Sản_phẩm được giao đúng hẹn , bao_bì bên ngoài không có dấu_hiệu bất_thường .",,,,,,Neutral,,,Neutral,,
"Dung_lượng lưu_trữ : 128gb Nhóm màu : hồng giao hàng nhanh_chóng có 1 ngày à , quá nhanh . màu hồng đẹp xinh cực_kỳ , cảm_ơn đội_ngũ lazada , năm nay giao_nhận nhạn hơn moii năm",,,,,Positive,,,,Positive,,
"Đẹp như mới , cửa_hàng uy_tín , nhiệt_tình nhờ lấy luôn cái ốp mà gọi cửa_hàng tặng luôn",,,,,Positive,,,Positive,,,
"Đúng là hàng cho nhà giàu , giá kiểu này ai mà dám mua",,,,,,,Negative,,,,
Trước_mắt là thấy tốt sử_dụng thời_gian xem thế_nào,,,,,,,,,,Positive,
Chất_lượng sản_phẩm : tốt Sản_phẩm đúng mô_tả rất hài_lòng pin trâu đáp_ứng đủ yêu_cầu cho 4 sao,Positive,,,,,,,,,,
máy này chậm lắm . sử_dụng nhanh hết pin . loa mes nghe rất nhỏ . nên thêm tiền mua note 14 sử_dụng ổn hơn nhiều,Negative,,Negative,,,,,,,Negative,
"Nhóm màu : xanh khe cắm sim kép tiện_lợi , dung_lượng lưu_trữ rộng_rãi 128gb ,",,,,,,,,,,Positive,
"Chất_lượng sản_phẩm : điện_thoại bắt sóng rất kém , 4g chậm sử_dụng chán lắm , độ_phân_giải thấp Tính_năng nổi_bật : nfc Đúng với mô_tả : tạm hàng nguyên seal , góc hộp hơi móp chắc là bị ném mạnh , điện_thoại bắt sóng cực_kỳ kém hic hic .... không nên mua",,,,,,Negative,,,,Negative,
"phần_mềm hay crash sau vài ngày dùng . khác với mô_tả hệ_điều_hành ổn_định . tính_năng cập_nhật tự_động gây lỗi . nhiều app bị văng , rollback rắc_rối",,,Negative,,,,,,,Negative,
khe sim bị lỏng không có chế_độ chống rung như mô_tả không có khả_năng chụp góc rộng,,Negative,,,Negative,,,,,,
"Giao hàng nhanh trong ngày là nhận được , nhân_viên nhiệt_tình",,,,,,,,Positive,Positive,,
Màn_hình có kích_thước 6.7 inch . Cho hỏi cách chỉnh tần_số quét ở đâu vậy ?,,,,Neutral,,,,,,,
Nhóm màu : màu đen sản_phẩm : samsung j7 prime 32g lần đầu_tiên mua máy trên cửa_hàng nhận máy về ưng_ý lắm máy còn mới sử_dụng rất là tốt quan_trọng là phù_hợp với giá tiền mình bỏ ra mà chất_lượng thì cũng rất là ưng_ý mọi chức_năng đều rất là tốt cửa_hàng tư_vấn nhiệt_tình mình sẽ ủng_hộ thêm lần sau nha tặng cửa_hàng 5 sao chúc cửa_hàng mua may bán đắt cảm_ơn cửa_hàng,,,,,,,Positive,Positive,,,
"Sản_phẩm : sản_phẩm không như mô_tả , sản_phẩm chất_lượng kém , sản_phẩm giả_mạo",,,,,,,,,,Negative,
"Nhóm màu : pink Dung_lượng lưu_trữ : 128gb tính_năng sáng_tạo , chất_lượng máy_ảnh ấn_tượng , hiệu_suất mượt_mà , bóng_bẩy và thanh_lịch , bóng_bẩy và thanh_lịch ,",,Positive,Positive,,,,,,,Positive,
"Nhóm màu : xanh điện_thoại tốt sử_dụng khá mượt , pin trâu , rất hài_lòng về sản_phẩm lại giao hàng nhanh nữa",Positive,,Positive,,,,,,Positive,,
Sản_phẩm tạm ổn với mức giá,,,,,,,Positive,,,,
"Nhóm màu : màu xanh lá cây Dung_lượng lưu_trữ : 128gb khả_năng sạc nhanh , dung_lượng lưu_trữ cao , giá_trị tuyệt_vời cho số tiền bỏ ra , chất_lượng máy_ảnh ấn_tượng ,",Positive,Positive,,,,,Positive,,,,
"Chỉ không vừa_ý là đặt màu trắng giao màu đen , giao rồi mới báo . Đặt người mua vào vị_trí sự đã rồi",,,,,,,,,Negative,,
Khi mọi người mua thì hãy dòng máy này load rất là chậm đời khá là thấp nếu_như để làm_việc thì không_thể làm được nên tốt nhất mọi người cũng_nên xem hàng đặt_hàng thì cũng không như quảng_cáo đâu mọi người biết thận_trọng,,,Negative,,,,,,,,
"Đúng với mô_tả : đúng như mô_tả , sản_phẩm cũng tạm ổn với tầm giá 殺殺殺_Tính năng nổi_bật : nhiều chức_năng bao_gồm  Chất_lượng sản_phẩm : máy cũng đẹp , tuyệt_vời  sản_phẩm rất ưng_ý 殺 , cảm_ơn cửa_hàng nhiều nhé ",,Positive,,,,,Positive,,,,
"cảnh_báo vô_trách_nhiệm , tôi đã mua s24 fe để kịp chụp ảnh lễ diễu_binh a80 , nhưng khi nhận được sản_phẩm thì sạc không vào , đem ra trung_tâm bảo_hành thì kết_luận là lỗi của nhà_sản_xuất lỗi main nhưng không nhận được bất_kì hỗ_trợ nào từ phía cửa_hàng , mỗi lần nhắn là 1 bạn nhân_viên khác và như mới từ đầu , lúc_nào cũng bảo là đang xử_lý nhưng nửa tháng trôi qua và không cho bất_kỳ phương_thức đền_bù nào . mua 1 cái điện_thoại chưa kịp sử_dụng lần nào nhưng không có bất_kỳ hỗ_trợ nào do lỗi hoàn_toàn từ nhà_sản_xuất , không có địa_chỉ hay thông_tin cửa_hàng , không có chính_sách đền_bù mà chỉ có những câu trả_lời trong chat box là đang xử_lý hãy chờ và mất_hút trong vô_vọng",,,,,,,,Negative,,,
"Giao hàng nhanh , máy đẹp , vuốt chạm mượt_mà , chụp hình đẹp",,Positive,Positive,,Positive,,,,Positive,,
hiệu_năng chậm khi mở nhiều app pin sạc mất 4h đầy đóng hàng lộn_xộn phụ_kiện,Negative,,Negative,,,Negative,,,,,
Phiên_bản : mỹ 2 sim 128gb 98% cảm_ơn cửa_hàng đã cho mình có cơ_hội trải_nghiệm sản_phẩm với mức giá không_thể ngờ,,,,,,,Positive,,,,
Giao hàng nhanh . Giống mô_tả trước_mắt dùng ổn,,,,,,,,,Positive,,
Nhóm màu : pink Dung_lượng lưu_trữ : 128gb iphone thì bền khỏi nói rồi lại còn màu hường y thế chứ_lại thích quá ấy,,,,,Positive,,,,,,
Chất_lượng sản_phẩm : cũng ổn,,,,,,,,,,Positive,
Màu_sắc : đen Phân_loại : nguyên seal máy new ; hài lòg về sản_phẩm ; chỉ có là đặt màu đen nhưng cửa_hàng lại gửi nàu bạc,,,,,,,,,,Positive,
Chăm_sóc khách_hàng yêu_cầu chờ camera chụp xa thiếu nét pin tụt 25% giờ,Negative,Negative,,,,,,Negative,,,
Màu_sắc : xanh ngọc Dung_lượng lưu_trữ : 128gb điện_thoại đẹp.mới keh xà ben .. Cửa_hàng tư_vấn nhiệt tìh,,,,,Positive,,,Positive,,,
"Khả_năng lưu_trữ : 128gb Nhóm màu : đen rất tuyệt , cửa_hàng chăm_sóc khách_hàng tốt , ngay sau khi đặt cửa_hàng gọi ngay và tb tình_trạng hàng . Hàng đóng_gói kỹ . Vì hàng giao chậm hơn dự_kiến nên còn được cửa_hàng giảm_giá theo giá mới niêm_yết . Mọi xử_lý đều nhanh , cảm_ơn vì đã giữ lời giảm_giá . Hy_vọng cửa_hàng luôn giữ chữ tín như đã làm với tôi .",,,,,,Positive,Positive,Positive,Neutral,,
"Sản_phẩm tệ , máy củ nên pin yếu xạc lâu đầy , sử_dụng thì nhanh hết nói_chung không nên mua.lỡ đặt_hàng rồi phải lấy thôi .",Negative,,,,,,,,,,
9tr9 thật_sự là tiền lớn rồi mình mong_đợi nhiều hơn,,,,,,,Negative,,,,
"Sản_phẩm ok mô_tả đúng hàng mới nguyên seal đẹp , hình_ảnh chỉ mang tính nhận xu .",,,,,Positive,,,,,,
Thông_tin về trung_tâm bảo_hành được in trên sách hướng_dẫn sử_dụng .,,,,,,Neutral,,Neutral,,,
Đúng với mô_tả : ... Tính_năng nổi_bật : .. Chất_lượng sản_phẩm : ... Máy tốt so với tầm giá và hình_ảnh chỉ mang tính_chất nhận xu nếu lướt qua và nhìn thấy bạn không nên để_ý hay quan_tâm đến bài đánh_giá này vì nó không hề liên_quan đến sản_phẩm mà chỉ mang tính_chất nhận xu như trên tôi đã nói,,,,,,,Positive,,,,
"Chip mạnh , pin trâu sạc nhanh . Dùng mượt lắm cửa_hàng đóng_gói cẩn_thận giao hàng nhanh",Positive,,Positive,,,Positive,,,Positive,,
"Sản_phẩm chất_lượng tốt , giá_cả phù_hợp , giao hàng bhanh , đóng_gói cẩn_thận , cửa_hàng uy_tín , sẽ ủng_hộ lần sau",,,,,,Positive,Positive,,Positive,,
"Sản_phẩm nhận được đúng như mô_tả , đóng_gói chắc_chắn , giao hàng nhanh hơn dự_kiến . Chất_lượng rất tốt , màu_sắc đẹp ,",,,,,Positive,Positive,,,Positive,,
Chăm_sóc khách_hàng không gọi lại . Hứa suông . Hỗ_trợ kém . Hẹn gọi lại để hỗ_trợ nhưng chờ mãi không thấy . Camera chụp ngoài_trời còn đỡ,,Negative,,,,,,Negative,,,
Sử_dụng nó cứ bị lag lag chán ghê á . Chẳng mượt_mà như con note 11 cũ của mình . Gọi điện messenger cứ kiểu âm_thanh đến 1 lúc rồi miệng mới giật2 theo sau,,,Negative,,,,,,,Negative,
Đúng với mô_tả : đúng Tính_năng nổi_bật : máy mạnh Chất_lượng sản_phẩm : tốt Không biết nói gì vì nò là s25 ultra mà . Ngoại_trừ quả giao hàng muộn ra còn lại siêu đỉnh .,,,Positive,,,,,,Negative,Positive,
Sản_phẩm sử_dụng rất phổ_biến và hiệu_quả trong công_việc là niềm vui của cuộc_sống mới .,,,,,,,,,,Positive,
"Color family : random color sản_phẩm : điện_thoại sử_dụng tốt lắm cửa_hàng ơi , lần sau mình sẽ ủng_hộ tiếp nhé . Thấy cửa_hàng làm_ăn buôn_bán uy_tín , chất_lượng , mình rất hài_lòng nhé .",,,,,,,,,,Positive,
Hình_ảnh mang tính_chất nhận xu . Hàng chưa dùng sẽ quay lại đánh_giá chi_tiết sau,,,,,,,,,,Neutral,
"Hàng ổn theo tầm giá , nói_chung là ổn",,,,,,,Positive,,,,
Đóng_gói hàng lâu tuy_nhiên giao hàng vẫn trong thời_gian dự_định .,,,,,,Negative,,,Neutral,,
Hộp đựng sản_phẩm và cách đóng_gói theo đúng tiêu_chuẩn .,,,,,,Neutral,,,,,
"cửa_hàng tư_vấn nhiệt_tình , rõ_ràng , tận_tâm . Máy đẹp , mạnh dùng rất thích . Phụ_kiện cửa_hàng tặng kèm đầy_đủ mấy cái cần_thiết . Tóm_lại là 5 sao ",,,Positive,,Positive,Positive,,Positive,,,
Hàng nguyên seal . Cửa_hàng uy_tín .,,,,,,,,,,Positive,
Sản_phẩm tốt trong tầm giá.không biết do nguyên_nhân gì có phản_ánh người nghe cuộc_gọi là loa rè.còn lại mọi thứ bt,,,,,,,Positive,,,,
Nhóm màu : xanh than nhà bán hàng_không bảo_hành,,,,,,,,Negative,,,
"điện_thoại bị chai pin . sử_dụng 1 lúc là hết pin . màn_hình có vết xươc , sạc rất lâu . nếu có_thể tôi muốn gửi lại hàng . xin cảm_ơn",Negative,,,Negative,,,,,,,
một con vịt xoè ra hai con thằn_lằn con đua nhau cắn nhau đứt con chim non,,,,,,,,,,,Neutral
"màu mau phai không đúng kích_thước gps sai_lệch . sản_phẩm kém chất_lượng mà giá thì đắt , không đáng tiền chút nào",,,,,,,Negative,,,,
"tình_trạng tốt với ngoại_hình mới , với mức giá tầm này thì tốt không_thể đòi_hỏi gì nhiều ",,,,,Positive,,Positive,,,,
Nói thật có tiền mọi người mua máy mới mới 1 tý . Máy đời cổ_sử_dụng cùi lắm . Đừng ham rẻ,,,,,,,Negative,,,,
Cửa_hàng giao hàng nhanh . Đặt hôm trước hôm sau giao rồi . Đánh_giá cao sự nhanh lẹ này,,,,,,,,,Positive,,
"95% mà như mới luôn á , cửa_hàng tư_vấn nhiệt_tình",,,,,,,,Positive,,,
Color : đen-xl sản_phẩm không giống ảnh . Vải phù_hợp với giá tiền . Size hoi nhỏ . Mặc ở nhà tốt,,,,,,,,,,,Neutral
Nhóm màu : desert Dung_lượng lưu_trữ : 256gb đơn hàng được đóng_gói kỹ_lưỡng và giao hàng nhanh_chóng đúng sản_phẩm,,,,,,Positive,,,Positive,,
Màu_sắc : màu trắng hư nfc hư quét vân tay không nhận không quét vân tay được máy thay vỏ màn_hình lô vỏ lô màn_hình lô không chấp_nhận được tôi buồn,,,,Negative,,,,,,,
"Pin chai chỉ sau 1 tháng sử_dụng . Hiệu_năng không ổn_định , thỉnh_thoảng bị lag khó_chịu . Đóng_gói cẩu_thả , hộp móp méo không nguyên_vẹn .",Negative,,Negative,,,Negative,,,,,
"cửa_hàng tư_vấn nhiệt_tình , đóng_gói cẩn_thận , giao hàng nhanh , giá_cả thấy rẻ hơn cửa_hàng khác , mình đã mua của cửa_hàng 2 cái rồi .",,,,,,Positive,Positive,Positive,Positive,,
Phân_loại sản_phẩm : vỏ cũ điện_thoại sử_dụng ẻm nha chất_lượng tốt  giá vậy_mà điện_thoại tốt không chỗ trê luôn ,,,,,,,Positive,,,,
Mua 3 máy để test game . Sau khi chơi mới biết máy hỗ_trợ cấu_hình ff ở mức trung_bình tạm chấp_nhận,,,Positive,,,,,,,,
Điện_thoại techo này tốt mỏng đẹp . Mượt . Os thông_minh . Có quà tặng + khuyến_mãi giá cực tốt,,,,,Positive,,Positive,,,,
