sentence,aspect,true_sentiment,predicted_sentiment,confusion_type
Máy như hình cấu hình ổn pin và camera đủ sử dụng có điều bắt sóng hơi kém chổ cảm vân tay hơi lỏng màn hình thỉnh thoảng bị đơ do máy nóng khá là nhanh nó chung là tầm tiền này không yêu câu hơn được,Price,neutral,positive,neutral → positive
"Vỏ oppo ruột realme, 8/128 nhưng là 4/120, màn hình hơi giật, ngoài ra các chức năng tạm ổn và đầy đủ, tiền nào của nấy nên sử dụng tạm, 3* là nhiều lắm rồi nhé",Price,negative,positive,negative → positive
Nói thật có tiền mọi người mua máy mới mới 1 tý. Máy đời cổ sử dụng cùi lắm. Đừng ham rẻ,Price,negative,positive,negative → positive
mình tưởng đen tuyền. mua về ra màu này thôi sử dụng luôn. giá cả mã là 23tr cũng tốt. đánh giá máy mới sau 1 tháng sử dụng chưa thấy lỗi. sử dụng có nóng máy nhẹ,Price,positive,neutral,positive → neutral
"Điện thoại, còn ứng dụng máy có sẵn, có dán miếng dán chống xước, mua live giá tốt hơn chút.",Price,positive,neutral,positive → neutral
"Phiên bản: hàn quốc 1 sim 
Dung lượng lưu trữ: 256gb máy sử dụng tốt, pin ổn nhưng trầy xước mặt sau hơi nhiều.",Design,negative,positive,negative → positive
"Võ đẹp, màn hình nứt nhẹ coi như tốt pin cũ 20% bật nguồn lên nó nhảy còn 3% tắt nguồn luôn sạc nữa tiếng không lên còn tụt % giờ bất lên đèn xog tắt không lên được do hết pin :(((",Design,positive,negative,positive → negative
Điện thoại samsung galaxy j2 prime ngoại hình đẹp nhưng máy không có nổi một ít dung lượng nào cả dọn rác cho điện thoại mà chả lên được tí kb nào không lắp được thẻ nhớ cho điện thoại sạc cực kì lâu sạc qua đêm không nổi 100% khi sử dụng liên tụp trong vòng 1 tiếng máy sẽ nóng lên thỉnh thoảng còn đơ đơ 1 lúc phải tắt đi bật lại mới sử dụng được không xem được youtube vì gì có đúng lượng để cập nhật loa khi mở tiếng thỉnh thoảng bị dè,Design,positive,negative,positive → negative
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: hơi trầy xước 
Tính năng nổi bật: chơi game rất mượt ngọc ơi anh yêu em rất nhiều tôi yêu nguyễn đỗ thảo ngọc rất nhiều ngọc ơi anh yêu em",Design,negative,positive,negative → positive
Mới sử dụng điện thoại hãng này . Không âm hiểu .mua gặp sự cố hỏi cửa hàng không biết . Trả lời chậm chán . Mẫu đẹp .cho 3 sao vì phục vụ chưa tốt .,Design,positive,negative,positive → negative
Mua về nhưng không lên nguồn được ạ. Mong cửa hàng phản hồi,Shop_Service,neutral,negative,neutral → negative
"Sau 15 ngày sử dụng, máy xử lý mượt, chạy đa tác vụ ổn, không bị đơ ứng dụng, camera nét. Cửa hàng mà có bảo hành thêm màn hình nữa thì tốt hơn.",Shop_Service,neutral,positive,neutral → positive
đã nhận được hàng. đúng mô tả. sản phẩm mới chưa được kích bảo hành điện tử luôn,Shop_Service,negative,neutral,negative → neutral
Máy giao màn hình bị xước nhắn tin cửa hàng nói chắc do bên hải quan. Cửa hàng hỗ trợ trả đơn hoàn tiền nhưng mình cần việc sử dụng nên chấp nhận sử dụng mòng là không phải là máy đã qua sử dụng..mong lần sao có mua hàng cửa hàng nên check sản phẩm kỷ hơn để không xẩy ra vấn đề phát sinh,Shop_Service,neutral,negative,neutral → negative
"Nhóm màu: blue 
Dung lượng lưu trữ: 128gb viettel thì yên tâm rồi mọi người ạh. Có điều vận chuyển hơi lâu làm nôn nóng 😅. Săn sale được giá tốt 👌",Shipping,negative,positive,negative → positive
từ hôm mua về đã bị rồi. nghĩ là do nó không nhạy nên không để ý nhiều. xong càng ngày càng bị nặng hơn. phải ấn 5 lần mới được 1 lần. như này có được bảo hành không cửa hàng?,Shipping,positive,negative,positive → negative
Hàng giao đúng hẹn đóng gói an toàn. Tuy nhiên hơi khó lắp. Cửa hàng nên có ý kiến với nhà sản xuất cải thiện,Shipping,positive,negative,positive → negative
Sản phẩm tốt săn được sale giá rẻ nhưng giao hàng lâu cửa hàng uy tín sẽ ủng hộ thêm,Shipping,negative,positive,negative → positive
"Nhóm màu: midnight 
Dung lượng lưu trữ: 128gb hàng tốt, vận chuyển lâu tốn 4-5 ngày mới tới nơi",Shipping,negative,positive,negative → positive
Đẹp.mang hình có hai chấm đen chụp hơi xấu.gia này cũng tạm được,Display,neutral,negative,neutral → negative
"đóng gói kĩ, máy đẹp mới, nhưng cảm ứng hơi lag lúc mới khởi động, test tiếp xem sao.",Display,positive,negative,positive → negative
"Ưu điểm lớn nhất của điện thoại này là giá rẻ và màn hình amoled đẹp hơn hẳn loại ips. Các chức năng, cấu hình còn lại đều ổn.",Display,positive,neutral,positive → neutral
"Đúng với mô tả: màn hình đẹp 
Chất lượng sản phẩm: có bị cấn ở góc nhưng pin quá yếu, sử dụng liên tục tính năng cơ bản chỉ được hơn 2h gần 3h. test pin chỉ có 2k6 nên hơi tiếc. sử dụng cơ bản thì trong ngày ổn.",Display,positive,negative,positive → negative
"máy đẹp, bị lỗi bên cuộc gọi chớp chớp màn hình, cho cửa hàng 5 sao",Display,negative,positive,negative → positive
