sentence,aspect,true_sentiment,predicted_sentiment,confusion_type
Tính năng nổi bật: máy nói chung đẹp xước dăm thôi máy chạy mượt pin cũng ổn nghe nhạc hay chụp ảnh thì chỉnh tay đẹp hơn chút thôi chứ chụp tự động màu bị bệt ám vàng thua cả iphone đời tống,Camera,negative,positive,negative → positive
"Phân vân chưa biết mua con điện thoại tầm trung nào thì tự nhiên con neo 2 nubia này ra lò. Phải nói là mua ngay đợt khuyến mãi quà đầu tiên thì quá tốt rồi mọi người ơi. Cửa hàng uy tín nhé, mới mua lần đầu thấy mall nên cũng không cần tư vấn gì mà không ngờ ship rất nhanh nội thành. Chưa từng sử dụng con nubia nào cả nhưng theo tìm hiểu thì xin review một chút có tâm cho các ông: con này cày lâu thì buộc phải cắm sạc nhánh, đỡ nóng pin rất nhiều. Mua thêm sò lạnh kết hợp nửa mới oke nhé. Còn ông nào than máy nóng quá thì chắc không tìm hiểu về các dòng gaming phone rồi. Lướt liên quân bao mượt nhé. Chưa đến 5 củ thế thôi. Camera trước thì xấu thôi rồi. Camera sau tạm ổn. Điện thoại game mà giá quá tốt nên đừng đòi hỏi gì camera hết nhé. Xin hết 🙏🙏",Camera,negative,positive,negative → positive
"Cửa hàng giao nhanh, đóng gói chắc chắn, có kèm đầy đủ phụ kiện. Màn hiển thị khá đẹp, có lưu ám nhẹ đúng mô tả. Tuy nhiên góc màn có 1 mảng màu lạ, kính cam có trầy xướt, viền hơi xấu, pin còn được 7x % thôi. Chất lượng máy phù hợp giá. Hơi thất vọng camera trước của dòng x1 ii này.",Camera,negative,positive,negative → positive
Chạy mượt cam cũng tốt .chỉ có thắc mắc đây là hàng cũ hay mới .thẻ sim rút ra bị chày suoc rất nhiều,Camera,positive,negative,positive → negative
#NAME?,Audio,neutral,negative,neutral → negative
"Nên cân nhắc kỹ , (hỏng loa trong kon có sạc , được cái cửa hàng nc đang hoàng )",Audio,negative,positive,negative → positive
Chất lượng sản phẩm: tạm ổn Tính năng nổi bật: loa hay đúng với mô tả: đúng đầu tiên thì mình nói về ngoại hình trước bề ngoài máy xước rất nhiều và phầm camera đều bị chầy xước xung quanh các cạnh máy và màn hình củng xước nhưg không đến nỗi điểm yếu của máy là về pin rất hao và tiếng anh lẫn trung rất nhiều không thích hợp làm máy chính nên mọi người cân nhắc nhé máy có hỗ trợ nfc nhưng không nhận thẻ cccd đâu ạ tầm tiền này thì đã có thể mua 1 con máy mới rồi nên ai muốn trải nghiệm thì cứ mua nhé máy mượt và nhạy cam tạm được,Audio,positive,negative,positive → negative
Chất lượng sản phẩm: pin được tầm 2 ngày thôi hơi yếu Tính năng nổi bật: loa nghe to rõ,Audio,positive,negative,positive → negative
"Chất lượng sản phẩm: binh thường Tính năng nổi bật: pin trâu Đúng với mô tả: đúng mở to loa rè, thấy pin oke, cảm ứng hơi đơ, mua làm máy phụ nên không đòi hỏi gì thêm. Lấy hàng tại cửa hàng uy tín không lo gì cả 😁",Audio,negative,positive,negative → positive
"Chất lượng sản phẩm: binh thường Tính năng nổi bật: pin trâu Đúng với mô tả: đúng mở to loa rè, thấy pin oke, cảm ứng hơi đơ, mua làm máy phụ nên không đòi hỏi gì thêm. Lấy hàng tại cửa hàng uy tín không lo gì cả 😁",Battery,positive,neutral,positive → neutral
Màu sắc: vàng sản phẩm: pin sạc dp 10.000mah ac giao không đung hang,Battery,positive,negative,positive → negative
"Máy thỉnh thoảng bị đơ pin dung lượng 5000 mà sử dụng nhanh xuống pin máy mới mua không biết cửa hàng có đổi không  mình gửi đánh giá 1 sao vì không giống quảng cáo  chờ cửa hàng phản hồi, nếu tốt mình sẽ sửa lại đánh giá xem có đáng để mua không ạ",Battery,negative,neutral,negative → neutral
Mình mua máy oppo reno 4z 5g được 1 tháng nên nhận xét như sau * ram 8g bộ nhớ 128g cpu là đúng * màn hình thì tạm được thôi chứ không phải full hd đâu nhé nhưng tạm chấp nhận vì giá rẻ * còn pin thì rất tệ nếu sử dụng liên tục thì được hơn 2h thôi * còn bảo hành thì chỉ cho vui thôi vì khi thấy pin sử dụng tệ quá thì mình có gọi vào sđt của cửa hàng thì gặp 1 bé nhân viên kêu mình phải test cho họ xem mình nói là mình đã test rổi thì mình mới gọi cho họ nhưng bé không chịu . Nên mình khuyên mọi người hãy cân nhắc thật kỹ trước khi mua,Battery,negative,neutral,negative → neutral
Máy đẹp.cấu hình ổn.pin trâu.nâng cấp camera lên chút nữa là tuyệt vời,Battery,positive,neutral,positive → neutral
Máy như sít . Mặc dù giá thành rẻ nhưng không nên mua,Price,positive,negative,positive → negative
"Chất lượng sản phẩm: tốt Đúng với mô tả: đúng sản phẩm kích hoạt bảo hành từ ngày mua, ship hơi lâu một chút, chính hãng uy tín, mua sale giá chưa đến 22 củ",Price,neutral,negative,neutral → negative
Anh em đã lên xem những đánh giá về g6 chưa. Nếu sử dụng thử không như youtobe đánh giá đâu. Tiền nào của đó. Giá này hiện nay chỉ sánh ngang mấy e tầm giá này mới ra thôi nhé,Price,negative,neutral,negative → neutral
"Phiên bản 8/256, ngoại hình 90%, màn hình xướt nhẹ, đã dán sẵn miếng dán ppf, mặt lưng và camera xướt nhiều, pin không trâu lắm, loa hay như loa bluetooth, cổng sạc đôi khi không ăn điện, săn sale được giá 4tr",Price,neutral,negative,neutral → negative
"Màu sắc: màu ngẫu nhiên sản phẩm: cáp sạc giá rẻ, không đòi hỏi thêm, tặng cửa hàng 5 sao",Price,neutral,positive,neutral → positive
"Đúng với mô tả: máy hàng chuẩn. Đúng mô tả Chất lượng sản phẩm: 9.8/10 Tính năng nổi bật: máy còn áp xuất. Màn đẹp. Khung viền 98% vẫn còn rất đẹp. Pin còn khoảng 3250 cửa hàng uy tín. Đã mua nhiều lần ở cửa hàng cửa hàng có dán sẵn cường lực mặt trước cường lực loại khá tốt. Quà tặng tại nghe 3.5. Cục xạc nhanh 18w mới tinh. Cáp cũng mới tình loại tốt. Máy khung viền rất khít không hở, không móp méo, chỉ vài chỗ trầy nhẹ.riêng hai mặt kính hầu như không trầy rất đẹp. Mọi tính năng đều sử dụng tốt cảm ơn cửa hàng nhiều. Đang chờ thêm con pixel của cửa hàng về nữa 😁😁😁",Design,neutral,positive,neutral → positive
"Ngoại hình hơi xấu tầm 96% , mọi chức năng bình thường,lần thứ 2 mua hàng tại shopp,",Design,negative,neutral,negative → neutral
Đúng với mô tả: đúng Chất lượng sản phẩm: rất oke Tính năng nổi bật: led rgb trên logo sau sử dụng được 6 ngày rồi mới đánh giá và em nó có các điểm như: 1 là hở nắp lưng -1 2 là cửa hàng không có ốp lưng theo -1 3 có cả cáp củ sạc đầy đủ +1 4 là dán miếng dán sẳn tuy dính vân tay nhưng sử dụng mượt màn lắm +11 5 là ngoại hình 2 bên viền có chút trầy nhưng nấp lưng lại không => đã thay nấp lưng hoặc sữa chữa => đối với máy 6năm tuổi không còn zin là điều hiển nhiên 6 thông báo ổn lúc được lúc không 7 camera đúng chỉ gaming không đẹp lắm 8 màn amoled thì oke chất lượng 9 hệ thống ngôn ngữ hơi ngu thà để tiếng ah sử dụng còn được hơn 10 chơi game ổn áp anh em nào mua về chơi liên quân thì. Hốt vội 60fps không tuột. Xin hết,Design,negative,positive,negative → positive
Ngoại hình: máy cũ trầy xước nhẹ tot so voi tam gia,Design,negative,positive,negative → positive
Variation3: bạc variation1: không hộp (mới 100%) lần đầu tiên mua qua mạng hơi sợ xíu nhưng lúc bốc hàng máy mới không một vét xướt mua với giá 2 triệu 7 là quá ngon rồ sạc kèm theo là hiệu hoco sẽ ủng hộ cho lần tiếp theo,Design,negative,positive,negative → positive
"Sản phẩm như mô tả, chính hãng, bảo hàng 18 tháng. Chức năng đầy đủ, hiệu năng tốt, giá tiền phù hợp.",Warranty,positive,neutral,positive → neutral
"Đúng với mô tả: đúng Chất lượng sản phẩm: tạm giao hàng nhanh đóng gói oke có bảo hành bị một cái không đúng giờ thôi dù chỉnh đúng nhưng mấy tiếng lại chạy nhanh hơn thực tế, tự động tắt hay bật đều vậy",Warranty,positive,negative,positive → negative
"Bảo hành rườm rà bảo hành dễ dàng nhưng không phải gửi đi gửi lại, tốn phí ship",Warranty,negative,neutral,negative → neutral
"Bảo hành chính hãng nên anh em yên tâm mua nha, máy kích hoạt bảo hành đúng ngày nhận hàng.",Warranty,positive,neutral,positive → neutral
"Variation3: ram 6/128gb máy mới ổn, mượt, có phiếu bảo hành........tốt",Warranty,positive,neutral,positive → neutral
"Chất lượng máy tốt, không bị xước gì nhiều, mà mình có hỏi cửa hàng trước lúc mua xem pin em này đã sạc được bao nhiêu thì cửa hàng bảo sạc khoảng vài lần, mình kiểm tra thì thấy sạc được 160 lần :))) -1 uy tín nhé, cường lực giao tới cũng vỡ ạ. Máy thì sử dụng hơi ấm, cam thì tốt",Shipping,negative,positive,negative → positive
Đúng với mô tả: hàng đến còn nguyên vẹn cửa hàng gởi hàng đúng hẹn chạy thử thấy máy chạy tôt chưa kiểm tra kỷ,Shipping,positive,negative,positive → negative
"Hàng chính hãng, mua tại cửa hàng chính hãng nên chất lượng thì khỏi phải bàn, hàng còn nguyên tem mua về mới tự bóc nha, giao hàng cơ bản đảm bảo thôi chứ chưa nhanh lắm. Lần đầu mua đồ trên shopee nên hơi lo nhưng kết quả tốt, mọi người có thể yên tâm nhé.",Shipping,neutral,positive,neutral → positive
Hàng chuẩn zin mới đập hộp .màu đẹp mua được với giá khá hợp lý .giao hàng hơi lâu chắc do ngày sale 5 sao,Shipping,negative,positive,negative → positive
"Pin xuống cấp nhanh chóng. Chỉ còn 80% dung lượng sau 6 tháng. Tuổi thọ pin ngắn. Pin chai quá nhanh dù sử dụng cẩn thận, phải sạc nhiều lần trong ngày. Shipping được nhưng hơi lâu",Shipping,neutral,negative,neutral → negative
"Giao hàng khá nhanh. Vỏ hộp móp méo quá mức, bên trong bọc chống sốc sơ sài. Hàng mới kích hoạt, hạn bảo hành còn đến 31/3/26. Máy không vấn đề.",Packaging,negative,positive,negative → positive
Chuẩn bị hàng và giao hàng quá lâu. Mình đặt từ 28/12 đến 10/1 mới đến tay trong khi mình ngay ngoại thành hn. Bọc hàng khá kĩ nhưng hộp của ip vẫn bị df 1 góc như hình. Chất lượng sản phẩm phải sử dụng mới đgia được. Giá rẻ.,Packaging,positive,negative,positive → negative
"Giao hàng lâu quá, sản phẩm thì sử dụng hơn 10 ngày nay thấy khá ổn, pin lâu, chụp hình tạm ổn, màn hình hiển thị đôi khi mờ icon mờ chữ, chỉ tiếc không có 5g và nfc",Display,negative,neutral,negative → neutral
"Cái đầu tiên mình nhận có bụi màn nhiều, có vết xước mờ phải nhìn kỹ mới nhận ra. Mình liên hệ cửa hàng và ra tận cửa hàng để đổi máy mới, tuy nhiên cái thứ hai tiếp tục có 1 chấm bụi nhỏ, được cái mình thấy máy mới hơn, không có vết xước nào. Mình rất nghi ngờ về việc cửa hàng ship cho mình hàng đã bị đổi trả, vì máy mình lấy tại cửa hàng mới hơn từ hộp ngoài luôn. Mình nghĩ nếu mình đổi tiếp cái thứ 3 thì xác suất dính bụi là 99% nên mình không đổi nữa mà nhắm mắt cho qua :))) mình nghĩ nó rẻ cũng vì lô sản xuất này dính nhiều lỗi bụi màn, không có ai đen đến mức lấy 2 con máy mà vẫn dính lỗi như mình cả. Mình không hài lòng với cách xử lý ban đầu của cửa hàng, nhưng sau vẫn hỗ trợ mình đổi nên thôi tạm chấp nhận đi. Đối với mình màn hình không xấu như mọi người chê, nhu cầu cơ bản nó đều đáp ứng được, mới active được mấy ngày sử dụng thấy khá ổn. Mong là sẽ sử dụng được lâu dài.",Display,negative,neutral,negative → neutral
Màu sắc: đen phân loại: nguyên seal +sạc 18w màn hình có trầy nhẹ 2 đường nhỏ nhưng vì màn hình đã dán nên vẫn chấp nhận được cảm ơn cửa hàng,Display,positive,neutral,positive → neutral
Chất lượng sản phẩm: màn hình xuất hiện sọc ngang Đúng với mô tả: chất lượng màn hình kém Tính năng nổi bật: hiển thị không ổn định review: màn hình bị lỗi sau 1 tuần sử dụng,Display,positive,negative,positive → negative
"Tính năng nổi bật: nmt Đúng với mô tả: good máy màn to,sắc nét,hơi nhẹ xíu. Camera chụp tháy cũng tốt. Loa chuông hơi yéu và rè",Display,positive,negative,positive → negative
"Sử dụng được mấy hôm thấy cũng ổn , không biết sử dụng lâu dài thì sao nữa , giao hàng đúng vào ngày bão lên hơi chậm xíu , nm nhân viên đọc ghi chú nhiệt tình",Shop_Service,positive,neutral,positive → neutral
"Máy và trải nghiệm khá tốt nhưng máy đã thay màn nên cảm ứng khá chậm với màn bị bầm nhẹ, chiến game vẫn khá ngon với cửa hàng hỗ trợ nhiệt tình nên cho 4sao",Shop_Service,positive,negative,positive → negative
"Xinh lắmmmm luônnnnn bé xíu à mà đáng tiền đó, mỗi tội sử dụng lâu tí nó lag và nóng máy luôn, cửa hàng tư vấn rất rất nhiệt tình nhé!",Shop_Service,positive,negative,positive → negative
"Pin 80, máy sử dụng tốt nhận sim nhưng không bật được internet ngoại hình ổn, sử dụng làm máy phụ khá ngon thật tuyệt vời perfect invisible cí lùm mía máy nhận sim nhưng không bật được internet...",Software,negative,positive,negative → positive
"Màu sắc: đen phân loại: nguyên seal không sạc máy đã active sẵn, còn lên luôn miui14. Thích ở bản cũ hơn vì đã lên rồi là không xuống được. Máy đẹp không trầy xước",Software,neutral,positive,neutral → positive
Đúng với mô tả: đúng Tính năng nổi bật: nặng pin trâu Chất lượng sản phẩm: tạm ổn máy mua về nên cập nhật phầm mềm lên để sử dụng ổn định nhất. Pin trâu đi liền với độ nặng phù hợp anh em tay to. Nchung với mức giá này thì chả chê được. Giao nhanh. Ship nhiệt tình,Software,neutral,positive,neutral → positive
